(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
5:29:53,1701102840,2023-11-27T16:34:00,2023-11-27T18:34:00,1.002,329.55,35.72,36.68,37.04,35.21,36.87,862.99,861.47,283.350006,34.36,0.9631,496,0,9.932,0.9641,3.88,44619,80,30.0,64.74,32.23,126.35,362.58,175.44,907.08,199.57,1264.75,291.05,44.52,440.43,815.3,505.64,1835.69,519.24,2103.78,519.24,2103.78,0.89,0.0,85.3643,0.0,-1.987405,30.743027,1378.6,12.0,0.063222,0.7,539.6,1461.3,477,618,-90.9,537.0,-162,-41,598.3,633.6,545,639,-399.4,469199.1,-2975,1198,1024.9,9993478.0,-5783,12040,-782.0,1143242.8,-2870,2931,0.0,0.0,0.0,0.0,0.0,100.0,0,0.238775,0.139784,0.091879,0.038476,0.0,30.0
5:30:23,1701102870,2023-11-27T16:34:30,2023-11-27T18:34:30,1.001,330.05,35.73,36.7,37.04,35.21,36.88,862.96,861.44,282.899994,34.08,0.9631,496,0,9.933,0.9641,3.88,44606,80,30.0,39.52,49.17,62.73,203.42,80.48,403.53,89.21,526.87,214.99,914.22,287.44,2211.55,311.45,2988.35,316.41,3165.73,316.41,3165.73,0.75,0.0,85.4117,0.0,-1.987407,30.743031,1376.3,12.0,0.109482,0.7,570.8,850.8,519,615,-63.1,344.4,-105,-25,581.9,382.9,553,617,-214.8,285392.9,-1671,1470,-432.3,17281842.0,-19372,7376,-661.6,1436874.6,-3255,3141,0.0,0.0,0.0,0.0,0.0,100.0,0,0.229639,0.035835,0.083554,0.038464,0.0,30.0
5:30:53,1701102900,2023-11-27T16:35:00,2023-11-27T18:35:00,1.001,330.55,35.72,36.73,37.03,35.21,36.81,863.07,861.57,282.149994,33.62,0.9634,496,0,9.934,0.96456,3.88,44593,80,30.0,32.46,2.7,42.44,14.35,49.31,31.45,52.69,42.38,200.12,47.92,247.8,115.21,257.55,162.67,259.51,174.06,259.51,174.06,0.64,0.0,85.438,0.0,-1.9874,30.743017,1377.4,12.0,0.029298,0.7,538.1,620.3,472,591,-79.1,210.5,-101,-25,603.8,299.6,560,642,142.6,1906377.9,-4716,4261,90.1,29129218.0,-14498,21682,-1180.0,1849634.9,-5057,2231,0.0,3.3,0.0,0.0,0.0,96.7,0,0.229777,0.023354,0.083553,0.039398,0.0,30.0
5:31:23,1701102930,2023-11-27T16:35:30,2023-11-27T18:35:30,1.001,331.05,35.71,36.77,36.99,35.79,36.86,863.12,861.69,282.350006,33.84,0.9635,496,0,9.934,0.96433,3.88,44580,80,30.0,32.44,52.57,39.19,86.97,43.34,115.34,45.38,130.79,208.27,2035.49,251.74,3085.87,257.96,3312.22,259.18,3358.65,259.18,3358.65,0.66,0.0,85.4584,0.0,-1.987402,30.743019,1377.9,12.0,0.11565,0.7,570.4,1260.7,510,622,-97.5,2178.9,-233,-40,580.6,538.2,526,625,-622.6,1640431.5,-4725,1347,-623.5,12123347.0,-12608,5285,-404.0,3313067.8,-3570,5740,0.0,0.0,0.0,0.0,0.0,100.0,0,0.228091,0.092981,0.083566,0.038531,0.0,30.0
5:31:53,1701102960,2023-11-27T16:36:00,2023-11-27T18:36:00,1.001,331.55,35.69,36.77,36.92,35.79,36.71,863.07,861.64,282.516663,34.76,0.9633,496,0,9.934,0.9641,3.88,44567,80,30.0,42.08,2.08,53.43,9.23,61.0,21.21,64.72,29.17,263.49,72.8,323.24,109.06,334.14,128.21,336.32,133.45,336.32,133.45,0.7,0.0,85.4816,0.0,-1.987415,30.743027,1376.8,12.0,0.400406,0.7,369.9,62616.7,-14,651,-102.5,1959.9,-206,-40,642.3,6536.7,522,752,75.1,4625622.5,-4873,5565,1906.2,69570016.0,-13877,29128,112.6,11231141.0,-6860,12302,0.0,3.3,0.0,0.0,0.0,96.7,0,0.236701,0.123883,0.091991,0.038482,0.0,30.0
5:32:23,1701102990,2023-11-27T16:36:30,2023-11-27T18:36:30,1.002,332.06,35.65,36.79,36.93,35.79,36.79,863.09,861.77,282.533325,35.26,0.9634,496,0,9.934,0.96433,3.88,44555,80,30.0,55.35,410.67,94.44,2148.24,124.88,4561.57,139.84,6078.07,284.04,5535.66,394.06,16737.7,434.91,24655.88,443.38,26512.42,443.38,26512.42,0.89,0.01,85.5186,0.0,-1.987421,30.743046,1374.9,12.0,0.065278,0.8,344.9,31320.8,-14,522,-106.2,947.5,-147,-40,661.5,2279.7,593,755,-58.7,6874248.5,-7253,11401,-524.4,40469440.0,-20938,13921,-819.1,9105608.0,-9476,6501,0.0,0.0,0.0,0.0,0.0,100.0,0,0.228255,0.182468,0.083378,0.038486,0.0,30.0
5:32:53,1701103020,2023-11-27T16:37:00,2023-11-27T18:37:00,1.001,332.56,35.61,36.81,36.92,35.79,36.88,863.04,861.82,283.883331,34.84,0.9637,496,0,9.934,0.96571,3.88,44542,80,30.0,81.44,37.45,170.68,197.24,242.36,427.61,277.6,574.02,335.86,619.17,539.04,1579.75,633.92,2255.19,653.75,2416.34,653.75,2416.34,1.02,0.0,85.5849,0.0,-1.987406,30.743032,1377.9,12.0,0.019532,0.7,527.7,3225.1,317,709,-97.3,1118.8,-151,62,599.1,6195.8,415,961,-627.2,3541606.5,-8636,1898,353.2,13668183.0,-8426,13055,-984.8,3279545.5,-6938,2441,0.0,20.0,0.0,0.0,0.0,80.0,0,0.23075,0.084487,0.083703,0.039425,0.0,30.0
5:33:23,1701103050,2023-11-27T16:37:30,2023-11-27T18:37:30,1.001,333.06,35.59,36.82,36.87,35.79,36.64,863.11,861.98,282.616669,34.53,0.9641,496,0,9.935,0.96479,3.88,44529,80,30.0,68.15,75.9,137.49,503.74,192.96,1134.14,220.22,1536.66,294.84,645.44,457.92,2740.34,531.47,4492.09,546.83,4915.25,546.83,4915.25,0.96,0.01,85.662,0.0,-1.987391,30.743015,1380.3,12.0,0.008224,0.7,516.0,324.2,465,548,-101.9,32.4,-114,-93,608.8,168.7,582,640,-306.8,260029.8,-1181,1601,100.0,3865617.5,-3963,6291,-581.1,528110.6,-2038,1505,0.0,0.0,0.0,0.0,0.0,100.0,0,0.229718,0.118991,0.083424,0.038465,0.0,30.0
5:33:53,1701103080,2023-11-27T16:38:00,2023-11-27T18:38:00,1.0,333.56,35.58,36.83,36.85,35.79,36.66,863.04,861.93,282.533325,35.63,0.9638,496,0,9.934,0.96502,3.88,44516,80,30.0,41.76,14.51,68.04,102.58,88.29,234.15,98.24,318.45,222.63,104.15,301.47,504.53,328.76,855.12,334.41,940.51,334.41,940.51,0.77,0.0,85.7135,0.0,-1.987398,30.743013,1379.9,12.0,0.024158,0.7,513.7,2622.2,288,626,-116.2,317.1,-178,-99,607.6,756.3,512,706,-384.1,906315.4,-3412,2117,236.1,30644998.0,-17815,22592,-606.3,1164466.6,-3823,1802,0.0,0.0,0.0,0.0,0.0,100.0,0,0.230132,0.188043,0.083581,0.038541,0.0,30.0
5:34:23,1701103110,2023-11-27T16:38:30,2023-11-27T18:38:30,1.001,334.06,35.59,36.86,36.85,35.79,36.66,863.14,861.95,282.783325,35.33,0.9638,496,0,9.934,0.96502,3.88,44503,80,30.0,34.65,1.13,51.33,3.5,63.77,6.28,69.89,7.95,198.03,28.25,256.77,56.06,273.79,69.35,277.28,72.32,277.28,72.32,0.77,0.0,85.7433,0.0,-1.987405,30.743023,1379.5,12.0,0.13107,0.7,522.7,124.1,498,542,-101.1,193.3,-125,-70,606.6,46.9,591,622,-205.5,395757.5,-2835,1347,193.7,1861212.8,-2126,4270,-695.9,882997.0,-2178,3036,0.0,0.0,0.0,0.0,0.0,100.0,0,0.237774,0.251858,0.092123,0.039453,0.0,30.0
5:34:53,1701103140,2023-11-27T16:39:00,2023-11-27T18:39:00,1.001,334.56,35.58,36.86,36.9,35.79,36.63,863.14,861.92,282.716675,33.27,0.9643,496,0,9.933,0.9641,3.88,44490,80,30.0,34.35,13.52,50.92,46.02,63.29,85.83,69.37,109.97,196.16,315.17,254.43,655.0,271.35,829.77,274.83,868.93,274.83,868.93,0.78,0.0,85.7689,0.0,-1.987406,30.743027,1378.5,12.0,0.062708,0.7,518.7,1517.2,398,581,-119.1,1056.8,-214,-72,601.3,1278.4,460,664,-492.4,2498776.5,-5792,2091,-81.8,37808516.0,-11882,20492,-1301.7,4251895.0,-6168,5635,0.0,13.3,0.0,0.0,0.0,86.7,0,0.228439,0.127474,0.0835,0.039527,0.0,30.0
5:35:23,1701103170,2023-11-27T16:39:30,2023-11-27T18:39:30,0.999,335.06,35.58,36.85,36.92,35.79,36.71,863.06,862.01,281.799988,34.48,0.9641,496,0,9.934,0.9641,3.88,44478,80,30.0,34.4,141.98,52.35,381.38,65.89,646.91,72.55,803.27,192.94,4021.04,253.06,7384.63,271.49,8796.16,275.29,9104.34,275.29,9104.34,0.77,0.0,85.7947,0.0,-1.98741,30.743031,1376.9,12.0,0.04112,0.7,516.0,2692.2,388,617,-123.8,3944.9,-209,140,600.7,1718.3,491,677,607.9,16905454.0,-10342,13982,1743.6,40399864.0,-13396,18900,315.1,40805644.0,-13553,30301,0.0,6.7,0.0,0.0,0.0,93.3,0,0.229732,0.164012,0.084634,0.038477,0.0,30.0
5:35:53,1701103200,2023-11-27T16:40:00,2023-11-27T18:40:00,1.0,335.56,35.54,36.88,36.9,35.79,36.62,863.08,862.02,282.600006,33.64,0.9645,496,0,9.935,0.96433,3.88,44465,80,30.0,62.18,345.18,129.8,1302.14,184.11,2604.59,210.8,3421.7,257.71,8583.14,412.17,16777.45,484.06,21165.5,499.08,22185.09,499.08,22185.09,1.08,0.0,85.8402,0.0,-1.987411,30.743027,1377.0,12.0,0.065278,0.7,619.8,5076.5,478,748,-109.1,6117.2,-306,30,533.2,3018.2,442,623,674.3,6625042.0,-3333,12451,-740.2,18302922.0,-16520,7490,-686.9,27605498.0,-14288,19145,0.0,46.7,0.0,0.0,0.0,53.3,0,0.229666,0.035441,0.083461,0.039402,0.0,30.0
5:36:23,1701103230,2023-11-27T16:40:30,2023-11-27T18:40:30,0.999,336.06,35.51,36.9,36.85,35.79,36.3,863.08,862.13,281.799988,35.02,0.9644,496,0,9.934,0.96317,3.88,44452,80,30.0,51.27,104.15,110.27,467.49,157.79,953.19,181.15,1255.22,204.15,1785.87,335.73,4553.3,398.55,6306.67,411.69,6711.36,411.69,6711.36,1.03,0.0,85.9002,0.0,-1.987388,30.743,1377.1,12.0,0.054484,0.6,411.7,97155.8,-288,630,-39.6,7244.0,-116,155,604.3,2940.6,547,720,-1550.7,26419110.0,-20536,4147,1542.0,47432672.0,-8163,26372,-1385.6,30487986.0,-20763,9143,0.0,76.7,0.0,0.0,0.0,23.3,0,0.230153,0.091866,0.083599,0.03854,0.0,30.0
5:36:53,1701103260,2023-11-27T16:41:00,2023-11-27T18:41:00,1.0,336.56,35.47,36.88,36.81,35.79,36.44,863.08,862.21,282.416656,36.8,0.9642,496,0,9.935,0.9634,3.88,44439,80,30.0,30.47,188.32,66.78,850.4,96.07,1729.88,110.47,2275.6,118.13,3098.73,197.95,8161.95,236.64,11393.76,244.74,12137.96,244.74,12137.96,1.05,0.0,85.9444,0.0,-1.987488,30.743027,1370.4,12.0,0.399892,0.7,42.3,27395.2,-164,435,169.5,16681.2,-114,337,706.5,838.6,633,744,-212.8,10160992.0,-10517,8251,-903.7,24496784.0,-22548,8382,-602.9,9480110.0,-6168,11471,0.0,0.0,0.0,0.0,0.0,100.0,0,0.238491,0.134072,0.091824,0.038441,0.0,30.0
5:37:23,1701103290,2023-11-27T16:41:30,2023-11-27T18:41:30,1.0,337.06,35.41,36.9,36.74,35.79,36.63,863.16,862.34,284.216675,33.41,0.9654,496,0,9.935,0.9634,3.88,44426,80,30.0,26.84,289.15,57.84,1311.76,82.81,2679.07,95.09,3529.28,106.58,4833.15,175.61,12558.68,208.62,17496.3,215.53,18636.07,215.53,18636.07,0.99,0.01,85.9755,0.0,-1.98748,30.743061,1368.7,12.0,0.035466,0.7,297.3,76231.0,-55,746,61.8,26867.2,-240,297,657.5,6874.8,364,763,-497.0,47682476.0,-16187,25226,-761.0,119485312.0,-28962,35691,-395.1,41604708.0,-12547,24508,0.0,33.3,0.0,0.0,0.0,66.7,0,0.229395,0.189449,0.08355,0.038423,0.0,30.0
5:37:53,1701103320,2023-11-27T16:42:00,2023-11-27T18:42:00,0.996,337.55,35.37,36.92,36.72,35.79,36.45,863.17,862.39,282.816681,37.09,0.9647,496,0,9.935,0.96294,3.88,44413,80,30.0,14.8,184.77,28.43,669.21,39.26,1268.37,44.58,1632.54,67.76,3947.72,101.31,8711.33,115.71,11299.63,118.71,11881.55,118.71,11881.55,0.93,0.0,85.9971,0.0,-1.987503,30.743116,1363.7,12.0,0.60138,0.7,-115.2,3487.9,-231,21,301.6,806.0,207,343,686.4,432.8,642,754,-233.8,6199016.0,-3631,8872,43.7,8825838.0,-7096,6177,-1261.1,21220712.0,-15443,6938,0.0,0.0,0.0,0.0,0.0,100.0,0,0.229667,0.08765,0.0836,0.038467,0.0,30.0
5:38:23,1701103350,2023-11-27T16:42:30,2023-11-27T18:42:30,0.998,338.05,35.33,36.93,36.67,35.79,36.36,863.22,862.58,284.133331,36.26,0.9653,496,0,9.936,0.96364,3.88,44401,80,30.0,54.17,2424.53,119.49,12528.24,172.24,26508.31,198.16,35283.75,207.92,33218.61,350.82,99323.48,420.48,145657.36,435.06,156503.17,435.06,156503.17,1.05,0.01,86.034,0.0,-1.987446,30.743061,1364.3,12.0,0.012336,0.7,309.6,99358.2,-141,668,66.1,44226.5,-187,370,619.1,5077.1,414,714,-150.1,8830677.0,-9310,6807,-1026.1,47082744.0,-29968,7761,-564.8,26568462.0,-10815,18392,0.0,30.0,0.0,0.0,0.0,70.0,0,0.228834,0.114303,0.083589,0.039443,0.0,30.0
5:38:53,1701103380,2023-11-27T16:43:00,2023-11-27T18:43:00,0.998,338.55,35.37,36.93,36.67,35.79,36.49,863.19,862.5,281.950012,35.8,0.9651,496,0,9.934,0.96364,3.88,44388,79,30.0,75.03,571.16,180.75,3745.68,266.71,8407.08,308.97,11380.51,248.58,4946.12,466.35,20735.55,579.54,33825.59,603.27,36980.12,603.27,36980.12,1.1,0.01,86.1089,0.0,-1.987418,30.743042,1371.4,12.0,0.101258,0.6,544.5,2678.5,443,671,-74.3,177.3,-102,-38,588.7,1760.0,434,654,-315.3,858244.9,-2012,2581,143.5,12876179.0,-7848,10255,-967.5,3373066.2,-8295,4550,0.0,3.3,0.0,0.0,0.0,96.7,0,0.239315,0.120523,0.091853,0.039442,0.0,30.0
5:39:23,1701103410,2023-11-27T16:43:30,2023-11-27T18:43:30,0.998,339.05,35.39,36.95,36.67,35.79,36.55,863.16,862.55,282.983337,38.95,0.9643,496,0,9.934,0.9634,3.88,44375,79,30.0,37.34,2.08,76.41,26.3,107.72,67.87,123.1,95.43,158.72,13.35,249.47,53.01,290.95,117.95,299.62,135.83,299.62,135.83,0.96,0.0,86.1731,0.0,-1.987406,30.743023,1376.9,12.0,0.210226,0.7,497.9,164.2,466,523,-77.1,24.6,-89,-68,618.9,74.0,601,637,-269.9,205281.5,-1417,1146,202.1,3098702.8,-3937,6317,-743.4,248761.8,-1741,218,0.0,0.0,0.0,0.0,0.0,100.0,0,0.263991,0.189031,0.116377,0.039384,0.0,30.0
5:39:53,1701103440,2023-11-27T16:44:00,2023-11-27T18:44:00,0.999,339.55,35.36,36.94,36.67,35.79,36.28,863.19,862.55,284.083344,35.96,0.9652,496,0,9.935,0.9634,3.88,44362,79,30.0,33.28,2.19,61.68,18.03,84.15,42.51,95.19,58.33,158.09,10.23,230.62,69.59,260.56,127.94,266.79,142.5,266.79,142.5,0.89,0.0,86.2076,0.0,-1.987403,30.743011,1377.8,12.0,0.071446,0.7,481.5,389.2,417,501,-86.9,896.5,-247,-72,643.5,7536.4,611,1107,-209.5,110616.1,-1163,560,1885.8,72802216.0,-1872,47512,-209.1,5689093.0,-2187,12083,0.0,0.0,0.0,0.0,0.0,100.0,0,0.229012,0.261895,0.083203,0.039386,0.0,30.0
5:40:23,1701103470,2023-11-27T16:44:30,2023-11-27T18:44:30,0.999,340.05,35.34,36.94,36.63,35.79,36.38,863.19,862.6,282.816681,34.69,0.9656,496,0,9.935,0.96294,3.88,44349,79,30.0,36.97,6.02,57.98,8.68,73.98,28.94,81.85,45.17,202.97,524.04,269.82,496.35,291.5,397.8,295.98,380.24,295.98,380.24,0.7,0.0,86.2374,0.0,-1.987398,30.743013,1379.7,12.0,0.059624,0.6,477.9,8896.0,204,589,-46.8,1877.9,-133,115,618.8,2363.6,494,720,-251.7,10417773.0,-12923,7533,-1303.2,88709016.0,-35096,18908,-1187.0,24786608.0,-12687,14315,0.0,3.3,0.0,0.0,0.0,96.7,0,0.228335,0.124032,0.083365,0.038343,0.0,30.0
5:40:53,1701103500,2023-11-27T16:45:00,2023-11-27T18:45:00,0.998,340.55,35.32,36.92,36.61,35.79,36.35,863.17,862.64,282.350006,34.39,0.9658,496,0,9.936,0.96294,3.88,44336,79,30.0,53.65,15.81,78.26,43.37,96.51,88.08,105.48,117.78,309.65,647.12,399.02,917.61,424.05,991.78,429.19,1011.22,429.19,1011.22,0.78,0.0,86.2714,0.0,-1.987388,30.743013,1381.0,12.0,0.104342,0.6,455.7,34919.8,-351,634,27.5,7438.7,-79,398,612.9,2812.8,431,752,1340.0,161150096.0,-17412,61197,2649.3,635862080.0,-43225,113216,919.2,141504064.0,-17281,48510,0.0,6.7,0.0,0.0,0.0,93.3,0,0.22963,0.18089,0.084437,0.038391,0.0,30.0
5:41:23,1701103530,2023-11-27T16:45:30,2023-11-27T18:45:30,0.997,341.05,35.31,36.92,36.6,35.79,36.07,863.22,862.64,281.333344,32.93,0.9662,496,0,9.935,0.96202,3.88,44323,79,30.0,49.98,29.86,80.96,111.57,104.79,214.46,116.5,277.35,267.66,627.7,361.4,1397.22,393.55,1823.94,400.2,1920.39,400.2,1920.39,0.77,0.0,86.311,0.0,-1.987391,30.743006,1374.9,12.0,0.070418,0.6,492.6,15768.2,322,756,-123.6,837.4,-185,-61,607.1,6298.4,421,694,-1527.7,19590550.0,-13405,7341,1047.8,35582852.0,-18838,16196,190.5,54868028.0,-15881,21717,0.0,23.3,0.0,0.0,0.0,76.7,0,0.238487,0.05832,0.092106,0.039373,0.0,30.0
5:41:53,1701103560,2023-11-27T16:46:00,2023-11-27T18:46:00,0.995,341.54,35.25,36.87,36.57,35.79,36.3,863.17,862.61,281.183319,32.33,0.9665,496,0,9.934,0.96179,3.88,44311,79,30.0,40.14,0.66,53.12,16.9,62.17,54.83,66.62,81.63,245.77,122.79,305.57,60.84,318.34,41.83,320.92,42.48,320.92,42.48,0.59,0.0,86.3444,0.0,-1.987382,30.743013,1375.2,12.0,0.2827,0.6,436.2,6762.9,132,585,-116.7,2137.2,-302,-59,637.0,909.9,593,751,-17.4,12530203.0,-7822,11086,-867.4,60351208.0,-22190,17272,2242.4,122149408.0,-15715,44240,0.0,0.0,0.0,0.0,0.0,100.0,0,0.229309,0.092592,0.083621,0.038467,0.0,30.0
5:42:23,1701103590,2023-11-27T16:46:30,2023-11-27T18:46:30,0.994,342.04,35.16,36.79,36.56,35.21,36.13,863.2,862.6,280.350006,32.79,0.9667,495,0,9.943,0.96248,3.88,44298,79,30.0,49.79,32.07,54.92,52.06,56.85,70.66,57.8,81.43,333.25,1290.42,393.15,1907.86,396.96,2024.23,397.62,2048.34,397.62,2048.34,0.56,0.0,86.3713,0.0,-1.98744,30.742956,1372.4,12.0,0.173218,0.7,739.4,14412.2,489,962,-116.9,20926.3,-437,193,390.6,21147.0,149,874,-3056.5,889007936.0,-63105,45745,815.0,1466978048.0,-142432,123095,-790.4,669430528.0,-66473,49682,0.0,93.3,0.0,0.0,0.0,6.7,22,0.228311,0.139906,0.083402,0.038486,0.0,30.0
5:42:53,1701103620,2023-11-27T16:47:00,2023-11-27T18:47:00,0.997,342.54,35.07,36.7,36.4,35.21,36.27,863.23,862.59,280.600006,33.34,0.9669,495,0,9.942,0.96294,3.88,44285,79,30.0,48.28,36.63,52.77,57.11,54.23,73.55,54.94,82.55,324.4,1470.38,381.86,2180.75,385.02,2312.17,385.54,2338.91,385.54,2338.91,0.62,0.0,86.3981,0.0,-1.987436,30.742907,1382.4,12.0,0.0257,0.7,503.6,37508.6,206,876,2.9,14405.8,-199,213,571.1,19219.4,197,718,-1193.2,293501408.0,-50925,38797,571.4,109393456.0,-20991,42848,-2990.7,148762240.0,-33363,28271,0.0,26.7,0.0,0.0,0.0,73.3,0,0.228667,0.027879,0.083552,0.038511,0.0,30.0
5:43:23,1701103650,2023-11-27T16:47:30,2023-11-27T18:47:30,0.996,343.04,35.0,36.59,36.26,35.21,35.83,863.1,862.52,280.633331,33.14,0.9671,495,0,9.94,0.96225,3.88,44272,79,30.0,69.78,545.85,96.96,2325.05,116.61,4695.91,126.27,6169.91,415.29,10420.89,525.25,24578.25,552.51,33169.16,558.07,35149.5,558.07,35149.5,0.8,0.02,86.4354,0.0,-1.987436,30.742907,1382.4,12.0,0.051914,0.7,891.3,6985.6,597,967,-85.8,7144.8,-333,43,214.9,29590.9,68,889,-1137.1,221435904.0,-44073,38377,2669.8,276949184.0,-20746,84385,-861.8,118873200.0,-39305,33993,0.0,100.0,0.0,0.0,0.0,0.0,0,0.236249,0.065839,0.091958,0.038484,0.0,30.0
5:43:53,1701103680,2023-11-27T16:48:00,2023-11-27T18:48:00,0.994,343.54,34.99,36.51,36.22,35.21,36.12,863.08,862.4,280.299988,33.07,0.967,494,0,9.95,0.96271,3.88,44259,79,30.0,70.49,22.28,143.46,181.09,201.88,471.02,230.61,666.52,301.73,780.05,472.03,1037.77,549.47,1342.78,565.65,1437.75,565.65,1437.75,1.03,0.0,86.4952,0.0,-1.987436,30.742907,1382.4,12.0,0.049344,0.7,935.3,33.7,925,949,-128.8,557.3,-161,-89,82.0,182.1,49,114,-747.2,12765481.0,-13282,4488,140.3,2707301.8,-4147,3272,-866.3,2146076.2,-4515,3211,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230065,0.11499,0.083542,0.03854,0.0,30.0
5:44:23,1701103710,2023-11-27T16:48:30,2023-11-27T18:48:30,0.994,344.03,35.0,36.43,36.24,35.21,36.16,863.22,862.36,280.683319,33.14,0.9669,493,0,9.952,0.96294,3.88,44246,79,30.0,64.96,452.81,133.7,1768.88,188.81,3450.96,215.9,4483.62,274.19,9084.57,433.08,20856.78,506.08,27604.62,521.34,29137.25,521.34,29137.25,0.98,0.0,86.5642,0.0,-1.987464,30.742973,1381.0,12.0,0.62194,0.7,874.7,6949.3,658,973,-112.8,33435.1,-410,701,159.7,4761.1,76,360,-794.0,802933184.0,-114642,34203,-5079.0,150203296.0,-40941,15330,-6646.7,352402816.0,-60418,37878,0.0,100.0,0.0,0.0,0.0,0.0,24,0.230253,0.179404,0.083534,0.038512,0.0,30.0
5:44:53,1701103740,2023-11-27T16:49:00,2023-11-27T18:49:00,0.996,344.53,34.98,36.35,36.24,35.21,36.1,863.27,862.3,281.266663,34.28,0.9667,493,0,9.95,0.96294,3.88,44234,79,30.0,131.71,661.86,283.38,4023.42,405.54,8922.11,465.6,12041.83,524.08,7525.62,862.22,25403.69,1023.74,39432.19,1057.52,42799.0,1057.52,42799.0,1.06,0.01,86.6682,0.0,-1.987416,30.743019,1374.4,12.0,0.278074,0.6,365.7,133383.5,-763,865,-119.6,18219.6,-394,163,563.3,33275.5,-22,744,1599.4,117734160.0,-30502,21962,-1318.6,587785664.0,-61495,43776,4386.3,366067552.0,-38045,64452,3.3,33.3,0.0,0.0,0.0,63.3,8,0.231411,0.059734,0.083617,0.039374,0.0,30.0
5:45:23,1701103770,2023-11-27T16:49:30,2023-11-27T18:49:30,0.996,345.03,34.95,36.26,36.24,35.21,35.98,863.2,862.17,281.100006,37.48,0.9659,493,0,9.951,0.9611,3.88,44221,79,30.0,35.94,1052.75,81.0,5980.32,117.46,12954.42,135.38,17359.01,133.48,12062.63,230.54,41120.46,278.64,62888.58,288.71,68036.52,288.71,68036.52,0.98,0.0,86.7589,0.0,-1.98743,30.742962,1368.2,12.0,0.558718,0.9,141.2,9058.2,25,473,-5.3,3967.5,-213,38,713.9,976.3,594,734,315.1,37376276.0,-4821,32628,868.5,41838968.0,-7997,33713,-683.8,6719542.0,-11348,5407,0.0,0.0,0.0,0.0,0.0,100.0,0,0.240097,0.114551,0.092001,0.039466,0.0,30.0
5:45:53,1701103800,2023-11-27T16:50:00,2023-11-27T18:50:00,0.997,345.53,34.95,36.19,36.23,35.21,36.14,863.23,862.21,283.700012,38.31,0.9657,493,0,9.951,0.96202,3.88,44208,79,30.0,15.08,409.26,28.32,1437.02,38.81,2694.6,43.96,3456.52,70.67,9032.54,104.02,19507.01,117.99,25063.44,120.9,26308.67,120.9,26308.67,0.94,0.0,86.7861,0.0,-1.987459,30.742992,1374.3,12.0,0.214338,0.7,144.4,8789.8,64,446,0.6,2152.8,-146,49,716.2,756.8,601,744,-360.2,6620412.5,-7682,6125,980.8,54734940.0,-22312,31377,-292.1,3723425.2,-5398,7122,0.0,0.0,0.0,0.0,0.0,100.0,0,0.22984,0.180412,0.083578,0.03945,0.0,30.0
