(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:04:53,1701083340,2023-11-27T11:09:00,2023-11-27T13:09:00,1.011,4.56,31.42,30.12,33.15,29.35,32.32,865.27,860.54,258.899994,42.29,0.9759,488,0,9.916,0.98539,4.09,52652,99,30.0,6.32,0.45,8.75,0.71,10.5,0.91,11.36,1.02,37.72,17.84,47.63,26.61,50.07,28.3,50.56,28.64,50.56,28.64,0.74,0.0,0.0393,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,760.4,918.3,726,828,-228.0,805.7,-309,-178,313.1,1584.7,205,368,-289.2,3211985.0,-5792,3683,13.3,9938398.0,-12258,5022,-1142.0,1437767.6,-4541,2502,0.0,100.0,0.0,0.0,0.0,0.0,0,0.208746,0.055754,0.067987,0.038346,0.0,30.0
0:05:23,1701083370,2023-11-27T11:09:30,2023-11-27T13:09:30,1.009,5.06,31.64,30.25,33.42,29.35,32.68,865.18,860.6,259.299988,42.41,0.9751,489,0,9.907,0.98539,4.09,52640,99,30.0,6.39,0.43,8.68,0.88,10.32,1.31,11.12,1.55,38.5,14.58,48.32,23.86,50.6,26.73,51.07,27.34,51.07,27.34,0.74,0.0,0.0437,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,787.3,81.1,762,815,-190.8,61.4,-203,-176,298.9,783.7,156,333,187.9,996312.7,-761,4593,-62.1,2103584.8,-5101,2205,-885.3,1666365.5,-4523,4226,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209813,0.107533,0.067884,0.039305,0.0,30.0
0:05:53,1701083400,2023-11-27T11:10:00,2023-11-27T13:10:00,1.009,5.57,31.85,30.42,33.62,29.35,32.74,865.3,860.46,259.016663,42.7,0.9741,490,0,9.899,0.98377,4.09,52628,99,30.0,4.82,0.03,6.37,0.08,7.45,0.14,7.99,0.18,29.55,0.74,36.72,1.4,38.25,1.7,38.56,1.77,38.56,1.77,0.72,0.0,0.0475,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,782.1,523.0,705,839,-164.7,274.0,-189,-131,310.8,694.3,247,393,-118.3,631960.6,-2590,2213,56.0,2601676.5,-3710,4725,-625.7,2389898.8,-2703,4733,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209993,0.152565,0.067907,0.039255,0.0,30.0
0:06:23,1701083430,2023-11-27T11:10:30,2023-11-27T13:10:30,1.01,6.07,32.04,30.54,33.81,29.93,33.16,865.22,860.28,259.100006,42.42,0.9733,491,0,9.894,0.98377,4.08,52616,99,30.0,4.97,0.05,6.35,0.08,7.27,0.11,7.73,0.12,31.03,2.16,38.13,3.21,39.46,3.4,39.72,3.43,39.72,3.43,0.71,0.0,0.0508,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,777.8,103.1,752,795,-157.0,113.5,-181,-133,319.7,98.3,302,344,-50.3,205500.4,-901,1741,-107.9,1932897.0,-3806,2161,-653.3,3183005.5,-3465,6378,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209362,0.045936,0.067965,0.03839,0.0,30.0
0:06:53,1701083460,2023-11-27T11:11:00,2023-11-27T13:11:00,1.012,6.58,32.22,30.68,33.99,29.93,33.28,865.11,860.21,259.516663,40.67,0.9729,493,0,9.879,0.98145,4.08,52604,99,30.0,4.44,0.39,5.62,0.68,6.4,0.92,6.79,1.05,27.84,14.76,34.12,22.72,35.25,24.6,35.48,24.99,35.48,24.99,0.69,0.0,0.0538,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,784.7,71.5,763,799,-181.7,105.1,-195,-159,307.8,86.2,293,327,-162.2,98783.2,-1198,717,198.0,3127675.0,-3150,5766,-1015.9,508701.2,-2021,910,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209665,0.077124,0.068144,0.039311,0.0,30.0
0:07:23,1701083490,2023-11-27T11:11:30,2023-11-27T13:11:30,1.01,7.08,32.4,30.79,34.2,29.93,33.34,865.13,860.17,257.799988,40.78,0.9722,494,0,9.875,0.98307,4.08,52592,99,30.0,3.93,0.12,4.87,0.16,5.47,0.19,5.76,0.2,24.94,5.21,30.36,7.43,31.24,7.69,31.41,7.74,31.41,7.74,0.68,0.0,0.0564,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,773.8,224.3,747,814,-184.9,132.5,-199,-153,314.4,242.7,272,352,-117.3,406701.6,-1855,1872,362.8,5037168.0,-5565,5171,-974.8,1422445.8,-5337,2633,0.0,100.0,0.0,0.0,0.0,0.0,0,0.216778,0.149813,0.075933,0.038439,0.0,30.0
0:07:53,1701083520,2023-11-27T11:12:00,2023-11-27T13:12:00,1.011,7.58,32.53,30.95,34.37,29.93,33.37,865.17,860.11,257.666656,38.83,0.972,496,0,9.859,0.98006,4.08,52580,99,30.0,4.6,2.01,5.64,3.15,6.29,4.04,6.61,4.52,29.32,80.11,35.58,119.51,36.55,127.05,36.74,128.58,36.74,128.58,0.68,0.0,0.0591,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,799.2,3016.5,705,911,-232.1,3736.6,-337,-155,250.8,10314.4,49,417,87.9,10020582.0,-7927,14551,-216.8,103322360.0,-31351,31692,-533.1,17208142.0,-15513,9668,0.0,100.0,0.0,0.0,0.0,0.0,0,0.208872,0.172611,0.0679,0.038346,0.0,30.0
0:08:23,1701083550,2023-11-27T11:12:30,2023-11-27T13:12:30,1.007,8.09,32.68,31.06,34.51,30.52,33.89,865.14,860.07,256.133331,39.22,0.9714,497,0,9.851,0.98006,4.08,52568,98,30.0,8.27,18.5,11.24,26.67,13.35,32.43,14.38,35.49,49.92,768.45,62.62,1117.34,65.56,1170.15,66.16,1180.61,66.16,1180.61,0.79,0.0,0.0633,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,816.8,1181.3,776,883,-229.9,1524.6,-316,-181,242.9,4666.4,97,302,0.5,1552692.5,-1986,6011,245.5,53907028.0,-30528,19311,-1658.1,2131831.0,-6807,717,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210598,0.048137,0.069461,0.03834,0.0,30.0
0:08:53,1701083580,2023-11-27T11:13:00,2023-11-27T13:13:00,1.009,8.59,32.82,31.17,34.63,30.52,34.04,865.11,860.05,255.616669,38.53,0.971,498,0,9.844,0.97751,4.08,52556,98,30.0,4.97,0.41,7.41,0.98,9.24,1.58,10.14,1.93,28.25,12.45,36.74,21.79,39.24,25.3,39.76,26.06,39.76,26.06,0.8,0.0,0.068,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,808.3,196.3,781,845,-196.4,205.6,-221,-157,266.9,775.8,198,352,-304.8,1853501.9,-5127,2756,1021.6,12285192.0,-3106,14848,-600.2,4059485.5,-3088,7341,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210479,0.103892,0.068036,0.038429,0.0,30.0
0:09:23,1701083610,2023-11-27T11:13:30,2023-11-27T13:13:30,1.008,9.09,32.96,31.31,34.79,30.52,34.16,865.15,860.03,256.033325,38.01,0.9705,499,0,9.838,0.97728,4.08,52544,98,30.0,3.83,0.03,5.5,0.1,6.73,0.18,7.34,0.23,22.37,0.92,28.64,1.72,30.33,2.07,30.68,2.15,30.68,2.15,0.76,0.0,0.0713,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,813.2,72.8,796,829,-192.3,56.2,-203,-174,266.3,251.0,238,308,-26.6,216993.5,-1050,1601,-165.3,6283882.0,-7997,4961,-793.6,684334.1,-3053,1260,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209507,0.153385,0.067966,0.039334,0.0,30.0
