(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
12:28:39,1696971660,2023-10-10T21:01:00,2023-10-10T23:01:00,0.992,748.97,35.08,38.61,36.66,36.97,36.82,865.69,869.7,108.416664,32.92,0.975,739,0,8.761,0.9668,3.85,42164,74,30.0,30.05,0.05,33.6,0.06,35.14,0.07,35.9,0.07,200.87,2.6,236.89,3.5,239.47,3.49,239.95,3.49,239.95,3.49,0.58,0.0,36.996,0.0,-1.969718,30.758572,1350.8,12.0,0.237982,0.7,990.9,0.6,989,993,43.4,0.9,42,45,-197.1,2.7,-201,-195,1464.6,4751.8,1338,1618,315.2,1997.4,201,411,-3111.1,197.0,-3141,-3080,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220003,0.054026,0.075952,0.038473,0.0,30.0
12:29:09,1696971690,2023-10-10T21:01:30,2023-10-10T23:01:30,0.991,749.46,34.99,38.41,36.57,36.38,36.71,865.85,869.54,108.333336,33.05,0.9751,738,0,8.762,0.9666,3.85,42150,74,30.0,30.98,0.5,34.8,0.76,36.53,0.96,37.38,1.07,206.69,20.6,244.06,30.23,246.9,31.86,247.43,32.18,247.43,32.18,0.62,0.0,37.0129,0.0,-1.96971,30.758572,1354.5,12.0,0.113594,0.7,991.0,1.1,989,993,43.1,0.7,42,45,-197.1,2.5,-201,-194,1480.4,4318.5,1312,1636,312.0,1454.0,236,376,-3094.5,332.0,-3123,-3062,0.0,100.0,0.0,0.0,0.0,0.0,0,0.22023,0.102242,0.075996,0.039447,0.0,30.0
12:29:39,1696971720,2023-10-10T21:02:00,2023-10-10T23:02:00,0.991,749.96,34.89,38.17,36.48,36.38,36.66,865.73,869.25,107.800003,33.21,0.9751,737,0,8.763,0.96842,3.85,42136,74,30.0,31.22,0.1,35.11,0.27,36.89,0.48,37.76,0.6,208.18,2.76,245.9,5.06,248.8,5.98,249.34,6.19,249.34,6.19,0.62,0.0,37.0303,0.0,-1.969679,30.758659,1360.2,12.0,0.321764,0.7,991.0,0.5,989,993,43.2,0.8,42,45,-196.2,3.1,-200,-193,1496.2,2532.2,1400,1592,310.8,1572.8,227,402,-3083.8,347.0,-3115,-3045,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220241,0.164928,0.075846,0.0394,0.0,30.0
12:30:09,1696971750,2023-10-10T21:02:30,2023-10-10T23:02:30,0.991,750.46,34.81,37.99,36.43,36.38,36.47,865.73,869.11,108.300003,33.36,0.9752,736,0,8.763,0.96559,3.85,42121,74,30.0,31.68,0.36,35.69,0.73,37.55,1.13,38.46,1.37,211.03,12.92,249.39,20.3,252.4,22.29,252.97,22.74,252.97,22.74,0.65,0.0,37.0478,0.0,-1.969679,30.758659,1360.2,12.0,0.075558,0.7,990.9,0.4,989,993,43.7,0.7,42,45,-197.4,3.6,-201,-194,1482.4,4833.8,1347,1662,301.0,1664.3,210,385,-3074.7,398.0,-3132,-3045,0.0,100.0,0.0,0.0,0.0,0.0,0,0.227913,0.027165,0.084271,0.038445,0.0,30.0
12:30:39,1696971780,2023-10-10T21:03:00,2023-10-10T23:03:00,0.99,750.95,34.72,37.82,36.31,36.38,36.35,865.83,869.05,108.449997,33.41,0.9755,735,0,8.767,0.9668,3.85,42107,74,30.0,29.91,0.33,33.9,0.48,35.83,0.59,36.77,0.65,198.68,13.92,235.19,20.16,238.25,21.07,238.83,21.26,238.83,21.26,0.63,0.0,37.0651,0.0,-1.969697,30.758612,1360.5,12.0,0.01028,0.7,990.9,0.3,989,992,43.4,0.8,42,45,-197.3,2.5,-201,-195,1467.6,3163.5,1373,1575,320.5,1955.2,245,420,-3077.4,195.0,-3115,-3053,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220851,0.088498,0.075999,0.039468,0.0,30.0
12:31:09,1696971810,2023-10-10T21:03:30,2023-10-10T23:03:30,0.991,751.45,34.63,37.65,36.24,35.79,36.18,865.75,868.86,107.716667,33.53,0.9755,734,0,8.77,0.96842,3.85,42092,74,30.0,28.82,0.04,32.7,0.08,34.59,0.13,35.52,0.16,191.36,1.67,226.58,2.52,229.57,2.72,230.14,2.79,230.14,2.79,0.62,0.0,37.0816,0.0,-1.9697,30.758627,1362.9,12.0,0.579792,0.7,991.1,0.8,989,993,43.3,1.0,41,45,-197.6,2.4,-201,-195,1474.9,3951.0,1356,1601,322.3,1654.8,245,428,-3078.0,168.0,-3106,-3053,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219044,0.158941,0.075979,0.038484,0.0,30.0
12:31:39,1696971840,2023-10-10T21:04:00,2023-10-10T23:04:00,0.991,751.94,34.55,37.53,36.1,35.79,36.17,865.8,868.93,108.633331,33.66,0.9759,733,0,8.77,0.9674,3.85,42078,74,30.0,29.13,0.12,32.73,0.12,34.37,0.12,35.17,0.12,194.29,5.57,229.44,7.39,232.12,7.36,232.62,7.35,232.62,7.35,0.6,0.0,37.0978,0.0,-1.969697,30.75865,1365.7,12.0,0.579792,0.7,991.4,0.6,989,993,43.3,1.1,41,45,-198.3,2.9,-201,-194,1465.3,4223.2,1303,1583,304.8,1668.6,236,411,-3077.9,234.0,-3097,-3045,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219271,0.010501,0.075968,0.038514,0.0,30.0
12:32:09,1696971870,2023-10-10T21:04:30,2023-10-10T23:04:30,0.992,752.44,34.47,37.38,36.04,35.79,36.26,865.96,868.69,107.816666,33.81,0.9759,732,0,8.772,0.96842,3.85,42064,74,30.0,28.98,0.05,32.34,0.06,33.78,0.14,34.48,0.19,193.86,2.94,228.52,3.27,230.95,3.02,231.4,2.99,231.4,2.99,0.6,0.0,37.114,0.0,-1.969695,30.758619,1364.1,12.0,0.150602,0.7,990.8,0.6,988,993,43.6,1.0,42,46,-198.3,2.1,-201,-196,1465.9,3971.2,1321,1566,319.8,1167.4,218,393,-3071.8,307.0,-3115,-3045,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220359,0.189802,0.075988,0.039377,0.0,30.0
12:32:39,1696971900,2023-10-10T21:05:00,2023-10-10T23:05:00,0.991,752.93,34.42,37.22,35.96,35.79,36.03,865.71,868.62,107.883331,33.92,0.9759,731,0,8.776,0.9666,3.85,42049,74,30.0,29.62,0.11,32.63,0.11,33.74,0.1,34.29,0.1,199.3,5.71,234.13,7.38,236.16,7.27,236.53,7.23,236.53,7.23,0.6,0.0,37.1301,0.0,-1.969705,30.758615,1359.7,12.0,0.415312,0.7,991.3,1.0,989,993,43.6,0.6,42,46,-199.1,2.3,-202,-195,1476.1,3376.0,1347,1601,318.6,1652.0,236,402,-3067.4,258.0,-3097,-3027,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220629,0.090199,0.075958,0.03947,0.0,30.0
12:33:09,1696971930,2023-10-10T21:05:30,2023-10-10T23:05:30,0.992,753.43,34.34,37.09,35.92,35.21,36.02,865.73,868.46,107.716667,34.0,0.976,730,0,8.779,0.96801,3.85,42035,74,30.0,29.7,0.02,32.83,0.02,34.03,0.03,34.62,0.04,199.54,0.97,234.62,1.25,236.76,1.21,237.15,1.21,237.15,1.21,0.61,0.0,37.1463,0.0,-1.969712,30.758619,1363.3,12.0,0.0771,0.7,991.1,0.7,989,993,43.3,0.8,41,45,-199.6,1.5,-202,-197,1474.9,2795.0,1347,1583,294.0,1588.3,218,385,-3053.4,255.0,-3097,-3018,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219682,0.127618,0.07589,0.039391,0.0,30.0
12:33:39,1696971960,2023-10-10T21:06:00,2023-10-10T23:06:00,0.992,753.93,34.25,36.98,35.85,35.21,35.95,865.77,868.47,108.599998,34.19,0.9763,729,0,8.781,0.9668,3.85,42020,74,30.0,29.94,0.12,33.53,0.1,35.12,0.09,35.9,0.08,199.98,6.61,235.96,8.24,238.59,7.92,239.08,7.85,239.08,7.85,0.62,0.0,37.1628,0.0,-1.969726,30.758583,1360.0,12.0,0.087894,0.7,991.1,0.5,990,993,43.5,0.8,42,45,-199.6,2.6,-202,-195,1481.0,3736.5,1365,1627,321.6,1249.3,262,393,-3046.4,167.0,-3071,-3018,0.0,100.0,0.0,0.0,0.0,0.0,0,0.264466,0.174833,0.120405,0.039451,0.0,30.0
12:34:09,1696971990,2023-10-10T21:06:30,2023-10-10T23:06:30,0.991,754.42,34.2,36.87,35.75,35.21,35.98,865.96,868.41,108.466667,34.25,0.9764,728,0,8.783,0.96781,3.85,42006,74,30.0,28.24,0.28,31.74,0.5,33.33,0.7,34.12,0.81,188.36,10.46,222.45,16.21,225.05,17.64,225.54,17.91,225.54,17.91,0.61,0.0,37.1789,0.0,-1.969725,30.758608,1367.4,12.0,0.114622,0.7,991.3,0.9,989,993,43.5,0.6,42,45,-199.3,2.4,-202,-196,1479.8,4516.8,1312,1575,314.9,1748.7,210,402,-3039.1,292.0,-3071,-3010,0.0,100.0,0.0,0.0,0.0,0.0,0,0.22239,0.061031,0.07806,0.039504,0.0,30.0
12:34:39,1696972020,2023-10-10T21:07:00,2023-10-10T23:07:00,0.993,754.92,34.14,36.78,35.69,35.21,35.48,865.91,868.37,108.333336,34.38,0.9766,727,0,8.787,0.96963,3.84,41992,74,30.0,28.01,0.12,31.21,0.13,32.55,0.12,33.21,0.12,187.56,5.85,220.99,7.78,223.28,7.74,223.7,7.73,223.7,7.73,0.6,0.0,37.1946,0.0,-1.969708,30.75864,1368.8,12.0,0.126444,0.7,991.0,1.3,989,993,43.7,0.9,42,45,-199.9,1.7,-202,-197,1485.7,2481.0,1365,1566,315.1,1327.9,253,393,-3039.7,260.0,-3080,-3010,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220213,0.11911,0.075868,0.039321,0.0,30.0
12:35:09,1696972050,2023-10-10T21:07:30,2023-10-10T23:07:30,0.993,755.42,34.08,36.58,35.62,35.21,35.36,865.81,868.15,107.916664,34.41,0.9765,726,0,8.792,0.97084,3.84,41977,74,30.0,28.63,0.45,32.07,0.55,33.6,0.61,34.35,0.63,191.21,20.02,225.63,27.77,228.15,28.32,228.63,28.42,228.63,28.42,0.62,0.0,37.2103,0.0,-1.969706,30.75864,1365.8,12.0,0.211254,0.7,991.1,0.6,989,993,43.7,0.9,42,45,-200.0,1.8,-202,-197,1473.1,3047.2,1356,1583,309.9,1753.7,192,385,-3035.0,205.0,-3071,-3001,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21957,0.167946,0.075948,0.038416,0.0,30.0
12:35:39,1696972080,2023-10-10T21:08:00,2023-10-10T23:08:00,0.994,755.91,34.03,36.48,35.56,35.21,35.84,865.74,868.03,108.300003,34.55,0.9765,725,0,8.793,0.97044,3.84,41963,74,30.0,28.69,0.1,31.95,0.16,33.33,0.19,34.0,0.22,192.08,4.34,226.31,6.29,228.64,6.59,229.08,6.66,229.08,6.66,0.61,0.0,37.2262,0.0,-1.969699,30.758646,1363.5,12.0,0.044204,0.8,991.3,1.1,989,993,43.0,1.1,41,45,-200.5,1.9,-203,-198,1470.8,5204.8,1338,1601,300.8,1161.6,236,358,-3028.5,332.0,-3062,-2992,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220639,0.040147,0.07586,0.039362,0.0,30.0
12:36:09,1696972110,2023-10-10T21:08:30,2023-10-10T23:08:30,0.992,756.41,33.96,36.4,35.55,34.62,35.54,865.78,867.96,108.550003,34.68,0.9767,724,0,8.797,0.97165,3.84,41948,74,30.0,29.59,0.14,32.95,0.22,34.35,0.28,35.03,0.31,198.19,5.79,233.47,8.55,235.86,9.04,236.31,9.14,236.31,9.14,0.61,0.0,37.2423,0.0,-1.969698,30.758636,1362.3,12.0,0.019532,0.7,990.8,1.1,989,993,43.8,0.6,42,45,-200.6,1.5,-203,-198,1479.9,3063.5,1286,1583,303.3,2337.8,210,402,-3026.9,235.0,-3053,-3001,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219929,0.095864,0.075933,0.039372,0.0,30.0
12:36:39,1696972140,2023-10-10T21:09:00,2023-10-10T23:09:00,0.992,756.91,33.91,36.37,35.46,34.62,35.61,865.84,868.07,108.566666,34.75,0.977,723,0,8.799,0.97307,3.84,41934,74,30.0,29.66,0.04,32.57,0.18,33.6,0.39,34.1,0.53,199.84,0.79,234.57,1.72,236.49,2.27,236.84,2.43,236.84,2.43,0.6,0.0,37.2586,0.0,-1.969711,30.758623,1361.3,12.0,0.18247,0.7,990.9,1.0,989,993,43.9,1.0,42,46,-200.9,1.4,-203,-199,1483.0,5064.0,1286,1627,307.0,1453.9,218,367,-3029.2,371.0,-3071,-2992,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219987,0.149148,0.07577,0.039385,0.0,30.0
12:37:09,1696972170,2023-10-10T21:09:30,2023-10-10T23:09:30,0.995,757.4,33.88,36.26,35.47,34.62,35.38,865.72,867.95,108.150002,34.96,0.9769,723,0,8.802,0.97246,3.84,41919,74,30.0,29.54,0.02,32.33,0.04,33.25,0.06,33.7,0.08,199.36,0.69,233.79,1.06,235.58,1.16,235.9,1.19,235.9,1.19,0.6,0.0,37.2748,0.0,-1.969715,30.758631,1361.8,12.0,0.045746,0.8,990.9,0.9,989,993,43.5,1.3,41,46,-201.5,1.8,-204,-198,1471.9,2057.5,1382,1557,301.5,1108.6,236,385,-3021.2,265.0,-3062,-2992,0.0,100.0,0.0,0.0,0.0,0.0,0,0.228446,0.034741,0.084169,0.039253,0.0,30.0
12:37:39,1696972200,2023-10-10T21:10:00,2023-10-10T23:10:00,0.996,757.9,33.82,36.19,35.35,34.62,35.41,865.79,867.91,108.23333,35.13,0.977,723,0,8.799,0.96943,3.84,41905,74,30.0,28.24,0.18,30.63,0.29,31.28,0.38,31.6,0.43,191.26,7.05,223.79,10.62,225.21,11.32,225.46,11.47,225.46,11.47,0.58,0.0,37.2904,0.0,-1.969718,30.758612,1361.3,12.0,0.031868,0.8,990.8,1.4,988,993,43.1,1.1,41,45,-201.5,1.4,-203,-199,1468.4,5246.2,1338,1627,299.1,1473.6,210,350,-3017.5,237.0,-3045,-2983,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220564,0.081875,0.075879,0.039467,0.0,30.0
12:38:09,1696972230,2023-10-10T21:10:30,2023-10-10T23:10:30,0.992,758.4,33.76,36.13,35.31,34.62,35.58,865.96,867.91,108.150002,35.21,0.9772,722,0,8.803,0.97084,3.84,41891,74,30.0,28.15,0.02,30.79,0.08,31.66,0.16,32.09,0.21,189.99,0.59,222.78,1.11,224.47,1.36,224.78,1.41,224.78,1.41,0.59,0.0,37.3057,0.0,-1.969724,30.758608,1362.0,12.0,0.068362,0.9,991.1,0.9,988,993,43.2,0.6,42,45,-202.1,1.9,-205,-199,1479.8,2196.2,1382,1601,301.4,2170.3,227,393,-3017.0,236.0,-3045,-2992,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21869,0.135711,0.075888,0.038385,0.0,30.0
12:38:39,1696972260,2023-10-10T21:11:00,2023-10-10T23:11:00,0.993,758.9,33.72,36.09,35.26,34.62,35.25,865.91,867.94,108.716667,35.25,0.9774,721,0,8.81,0.97084,3.84,41876,74,30.0,29.13,0.24,31.89,0.11,32.82,0.06,33.28,0.06,196.48,14.97,230.46,17.0,232.25,15.38,232.57,15.02,232.57,15.02,0.57,0.0,37.3213,0.0,-1.969722,30.75861,1361.2,12.0,0.036494,0.7,990.8,0.7,989,993,43.4,0.7,42,45,-201.9,1.9,-204,-199,1480.0,1655.0,1400,1557,311.4,2622.1,175,437,-3009.6,270.0,-3045,-2966,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219905,0.19115,0.075889,0.039384,0.0,30.0
12:39:09,1696972290,2023-10-10T21:11:30,2023-10-10T23:11:30,0.993,759.39,33.68,36.0,35.22,34.62,35.52,865.79,867.82,108.599998,35.49,0.9773,720,0,8.811,0.97307,3.84,41862,74,30.0,29.03,0.51,31.3,0.67,31.81,0.75,32.06,0.8,197.17,22.57,230.35,31.69,231.61,32.61,231.82,32.79,231.82,32.79,0.58,0.0,37.337,0.0,-1.969712,30.758646,1365.2,12.0,0.070418,0.7,990.7,0.9,988,994,43.7,0.9,42,46,-202.4,1.4,-205,-200,1468.8,3984.8,1286,1557,306.5,2119.1,210,376,-3010.5,206.0,-3036,-2983,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220985,0.065564,0.077778,0.038373,0.0,30.0
12:39:39,1696972320,2023-10-10T21:12:00,2023-10-10T23:12:00,0.993,759.89,33.62,35.92,35.22,34.62,35.17,865.78,867.81,109.150002,35.48,0.9776,719,0,8.816,0.97469,3.84,41847,74,30.0,29.7,0.52,32.05,0.65,32.6,0.72,32.86,0.76,201.6,22.97,235.58,31.99,236.9,32.74,237.12,32.87,237.12,32.87,0.58,0.0,37.3528,0.0,-1.96971,30.758642,1364.8,12.0,0.01542,0.7,990.9,0.4,989,992,43.6,0.6,42,45,-203.0,1.4,-205,-201,1492.1,4056.5,1330,1592,292.5,1232.1,210,358,-3010.8,335.0,-3045,-2966,0.0,100.0,0.0,0.0,0.0,0.0,0,0.223647,0.069847,0.079099,0.039551,0.0,30.0
12:40:09,1696972350,2023-10-10T21:12:30,2023-10-10T23:12:30,0.996,760.39,33.58,35.89,35.15,34.62,34.95,865.94,867.86,108.466667,35.62,0.9777,719,0,8.814,0.97185,3.84,41833,74,30.0,29.18,0.05,31.63,0.06,32.29,0.07,32.61,0.08,197.66,2.44,231.25,3.32,232.7,3.38,232.95,3.35,232.95,3.35,0.6,0.0,37.3686,0.0,-1.969707,30.758659,1370.5,12.0,0.143406,0.7,991.0,0.4,989,992,43.8,0.7,42,45,-202.6,2.1,-205,-200,1497.9,3344.0,1417,1645,307.4,1340.8,236,402,-3003.5,279.0,-3036,-2966,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220156,0.117693,0.076429,0.038516,0.0,30.0
12:40:39,1696972380,2023-10-10T21:13:00,2023-10-10T23:13:00,0.996,760.89,33.53,35.86,35.1,34.62,35.28,865.81,867.89,109.050003,35.61,0.9779,719,0,8.814,0.97226,3.84,41819,73,30.0,28.74,0.03,30.94,0.01,31.4,0.03,31.63,0.06,195.29,2.61,228.07,2.59,229.26,2.14,229.46,2.04,229.46,2.04,0.58,0.0,37.3842,0.0,-1.969702,30.758686,1375.7,12.0,0.058082,0.7,991.2,0.8,988,993,43.5,1.1,41,45,-203.0,1.0,-205,-200,1476.6,4171.5,1356,1610,309.4,1349.1,236,402,-3002.0,375.0,-3053,-2966,0.0,100.0,0.0,0.0,0.0,0.0,0,0.228156,0.169585,0.084266,0.039465,0.0,30.0
12:41:09,1696972410,2023-10-10T21:13:30,2023-10-10T23:13:30,0.993,761.38,33.48,35.81,35.06,34.62,35.69,865.76,867.89,108.633331,35.68,0.9781,718,0,8.818,0.97226,3.84,41804,73,30.0,27.24,0.36,29.05,0.31,29.26,0.25,29.37,0.23,185.83,18.55,216.52,23.67,217.37,22.99,217.49,22.83,217.49,22.83,0.6,0.0,37.3991,0.0,-1.969713,30.758654,1370.1,12.0,0.013364,0.7,990.7,0.2,989,992,43.6,1.1,41,45,-203.2,1.4,-205,-201,1494.3,3148.5,1382,1662,312.5,1075.3,245,393,-3007.6,363.0,-3036,-2957,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220135,0.053316,0.076016,0.039486,0.0,30.0
12:41:39,1696972440,2023-10-10T21:14:00,2023-10-10T23:14:00,0.994,761.88,33.44,35.78,35.0,34.04,34.96,865.85,867.85,108.699997,36.0,0.9781,717,0,8.824,0.9753,3.84,41790,73,30.0,27.39,0.25,29.39,0.32,29.75,0.36,29.93,0.38,186.33,10.8,217.44,15.18,218.48,15.59,218.65,15.66,218.65,15.66,0.59,0.0,37.4137,0.0,-1.969713,30.758654,1367.9,12.0,0.106398,0.7,990.7,1.2,988,993,43.7,0.6,42,45,-203.5,1.6,-206,-202,1480.7,2632.5,1365,1583,306.5,2002.3,210,402,-3008.4,290.0,-3036,-2975,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219286,0.114424,0.076008,0.038456,0.0,30.0
12:42:09,1696972470,2023-10-10T21:14:30,2023-10-10T23:14:30,0.997,762.38,33.42,35.71,34.99,34.04,34.87,865.81,867.8,108.683334,35.9,0.9782,717,0,8.82,0.97611,3.84,41775,73,30.0,28.18,0.11,30.2,0.06,30.54,0.05,30.71,0.05,191.86,7.16,223.81,8.18,224.83,7.44,225.0,7.29,225.0,7.29,0.58,0.0,37.4285,0.0,-1.96972,30.75865,1367.0,12.0,0.065278,0.8,990.9,0.5,989,993,43.6,0.8,42,46,-203.9,1.1,-206,-202,1468.4,2231.0,1338,1575,300.1,1601.9,210,385,-3013.1,190.0,-3045,-2975,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220411,0.160086,0.075971,0.039448,0.0,30.0
12:42:39,1696972500,2023-10-10T21:15:00,2023-10-10T23:15:00,0.996,762.88,33.38,35.63,34.97,34.04,35.04,865.68,867.76,108.550003,35.73,0.9783,717,0,8.817,0.97347,3.84,41761,73,30.0,28.27,0.06,29.9,0.07,29.91,0.07,29.91,0.07,193.52,2.57,225.02,3.54,225.63,3.54,225.71,3.58,225.71,3.58,0.54,0.0,37.4435,0.0,-1.969697,30.758663,1363.0,12.0,0.03341,0.8,991.2,0.7,990,993,43.7,0.9,42,46,-204.2,1.3,-206,-202,1491.3,3596.0,1347,1645,317.9,1784.2,227,393,-3007.3,245.0,-3036,-2975,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219763,0.205041,0.076078,0.039465,0.0,30.0
12:43:09,1696972530,2023-10-10T21:15:30,2023-10-10T23:15:30,0.993,763.38,33.34,35.61,34.94,34.04,35.51,865.61,867.76,108.783333,36.06,0.9784,716,0,8.826,0.97367,3.84,41746,73,30.0,26.91,0.21,28.46,0.24,28.46,0.24,28.46,0.24,184.23,9.9,214.2,13.39,214.78,13.46,214.85,13.46,214.85,13.46,0.55,0.0,37.458,0.0,-1.969696,30.758671,1365.2,12.0,0.108454,0.7,990.7,0.7,989,992,43.8,1.2,42,46,-204.1,1.4,-206,-202,1486.6,4470.5,1321,1575,302.1,1285.5,236,358,-3010.8,326.0,-3053,-2983,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220051,0.096054,0.076199,0.039435,0.0,30.0
12:43:39,1696972560,2023-10-10T21:16:00,2023-10-10T23:16:00,0.998,763.87,33.32,35.58,34.86,35.21,34.93,865.61,867.74,108.833336,36.21,0.9784,716,0,8.866,0.97428,4.06,41744,73,30.0,27.29,0.39,28.86,0.44,28.86,0.44,28.86,0.44,186.79,18.14,217.19,24.56,217.77,24.71,217.84,24.73,217.84,24.73,0.54,0.0,37.4722,0.0,-1.969694,30.75868,1365.6,12.0,0.121818,0.7,990.8,1.4,988,993,43.9,1.1,42,46,-204.3,0.9,-206,-203,1492.2,4022.8,1338,1627,303.3,1532.9,210,411,-3007.9,370.0,-3062,-2966,0.0,100.0,0.0,0.0,0.0,0.0,0,0.758526,0.140338,0.615409,0.038495,0.0,30.0
12:44:09,1696972590,2023-10-10T21:16:30,2023-10-10T23:16:30,0.997,764.37,33.31,36.32,34.87,39.9,34.88,865.46,868.83,110.166664,36.17,0.9797,716,0,8.883,0.97874,4.07,41812,73,30.0,27.96,0.03,29.75,0.04,29.9,0.05,29.97,0.06,190.96,1.52,222.36,2.09,223.14,2.12,223.26,2.11,223.26,2.11,0.58,0.0,37.4869,0.0,-1.969694,30.758661,1367.4,12.0,0.0257,0.7,990.8,0.8,989,993,43.7,1.0,41,45,-205.9,1.0,-207,-204,1489.7,2848.8,1347,1636,311.8,1486.7,245,393,-3047.0,350.0,-3097,-3010,0.0,100.0,0.0,0.0,0.0,0.0,0,1.012405,0.026531,0.867685,0.039906,0.0,30.0
12:44:39,1696972620,2023-10-10T21:17:00,2023-10-10T23:17:00,0.999,764.87,33.34,37.56,34.84,41.65,35.06,865.49,870.43,110.900002,36.07,0.9814,716,0,8.904,0.98381,4.07,41880,74,30.0,28.52,0.06,30.42,0.08,30.65,0.09,30.76,0.1,194.55,2.65,226.69,3.76,227.58,3.87,227.71,3.88,227.71,3.88,0.59,0.0,37.5019,0.0,-1.969702,30.75865,1367.5,12.0,0.021074,0.7,990.4,0.6,988,992,43.8,0.8,41,45,-206.3,0.6,-208,-204,1481.7,4832.5,1338,1618,313.5,1264.8,245,385,-3087.5,226.0,-3123,-3062,0.0,100.0,0.0,0.0,0.0,0.0,0,0.32256,0.073212,0.177479,0.040054,0.0,30.0
12:45:09,1696972650,2023-10-10T21:17:30,2023-10-10T23:17:30,1.003,765.37,33.43,38.66,34.85,43.41,35.36,865.66,871.88,112.349998,35.83,0.9828,716,0,8.921,0.98747,4.07,41947,74,30.0,29.21,0.16,31.21,0.19,31.48,0.2,31.62,0.2,199.13,7.54,232.12,10.27,233.08,10.36,233.23,10.37,233.23,10.37,0.59,0.0,37.5174,0.0,-1.969698,30.758635,1367.9,12.0,0.050372,0.7,990.5,0.7,989,992,43.8,0.8,42,45,-206.0,0.8,-208,-204,1482.0,4357.0,1330,1671,319.3,1434.6,262,411,-3120.1,247.0,-3150,-3080,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219642,0.127361,0.075973,0.038441,0.0,30.0
