(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:04:39,1696927020,2023-10-10T08:37:00,2023-10-10T10:37:00,1.019,4.6,33.88,34.2,35.35,32.86,35.4,868.1,867.17,111.966667,34.21,0.9762,701,0,8.892,0.99194,4.11,52651,99,30.0,9.63,0.01,10.18,0.01,10.18,0.01,10.18,0.01,65.89,0.38,76.61,0.51,76.82,0.51,76.84,0.51,76.84,0.51,0.53,0.0,0.0701,0.0,-1.969746,30.758728,1365.8,7.0,0.0514,1.5,874.8,649.1,829,929,-458.5,2142.6,-536,-337,-280.7,636.7,-318,-228,-323.8,121435552.0,-45928,22802,2463.5,34888200.0,-10832,24517,-2859.8,10694227.0,-11611,9922,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210926,0.119449,0.068173,0.039335,0.0,30.0
0:05:09,1696927050,2023-10-10T08:37:30,2023-10-10T10:37:30,1.018,5.1,34.2,34.45,35.76,33.45,35.94,867.98,867.05,111.866669,35.1,0.9747,704,0,8.879,0.99418,4.11,52638,99,30.0,9.81,0.01,10.37,0.01,10.37,0.01,10.37,0.01,67.15,0.59,78.08,0.8,78.29,0.8,78.31,0.8,78.31,0.8,0.55,0.0,0.0753,0.0,-1.969741,30.75873,1365.2,7.0,0.064764,1.5,901.0,593.1,836,953,-381.7,2164.8,-467,-274,-327.5,1266.7,-395,-278,3121.4,210116992.0,-34781,53567,-73.0,77824880.0,-41755,20125,-3808.9,13098740.0,-14481,3517,0.0,100.0,0.0,0.0,0.0,0.0,0,0.2101,0.176418,0.068137,0.039343,0.0,30.0
0:05:39,1696927080,2023-10-10T08:38:00,2023-10-10T10:38:00,1.019,5.61,34.53,34.73,36.13,33.45,36.19,868.08,866.99,112.26667,33.4,0.9738,707,0,8.866,0.98971,4.11,52626,99,30.0,9.04,0.06,9.56,0.06,9.56,0.06,9.56,0.06,61.91,2.65,71.98,3.59,72.18,3.6,72.2,3.61,72.2,3.61,0.54,0.0,0.0804,0.0,-1.969743,30.758718,1361.5,7.0,0.019018,1.5,907.4,401.8,862,938,-365.3,1446.5,-436,-275,-323.1,2210.6,-417,-262,-1958.3,248521968.0,-45998,48588,2112.4,32035242.0,-9458,15417,-4037.5,17907548.0,-19460,3815,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21031,0.056594,0.068155,0.039324,0.0,30.0
0:06:09,1696927110,2023-10-10T08:38:30,2023-10-10T10:38:30,1.017,6.12,34.85,34.99,36.46,34.04,36.6,868.01,866.88,112.133331,32.92,0.9727,710,0,8.859,0.99011,4.11,52613,99,30.0,9.08,0.03,9.6,0.03,9.6,0.03,9.6,0.03,62.15,1.35,72.27,1.83,72.46,1.84,72.48,1.84,72.48,1.84,0.53,0.0,0.0853,0.0,-1.969744,30.758701,1360.0,7.0,0.013364,1.5,892.3,504.6,836,949,-403.6,928.5,-490,-317,-322.5,3342.2,-424,-191,3614.6,190895280.0,-30117,44336,-63.6,74819200.0,-30563,25891,-3066.3,9748739.0,-11576,2835,0.0,100.0,0.0,0.0,0.0,0.0,0,0.208595,0.103993,0.068186,0.038385,0.0,30.0
0:06:39,1696927140,2023-10-10T08:39:00,2023-10-10T10:39:00,1.017,6.63,35.14,35.26,36.81,34.04,37.02,867.95,866.87,112.199997,31.38,0.972,713,0,8.849,0.99052,4.11,52600,99,30.0,9.04,0.03,9.56,0.04,9.56,0.04,9.56,0.04,61.89,1.53,71.96,2.07,72.15,2.08,72.17,2.08,72.17,2.08,0.54,0.0,0.0901,0.0,-1.969743,30.758707,1361.1,7.0,0.058596,1.5,899.3,299.3,867,935,-390.6,2513.3,-451,-259,-331.5,4219.9,-435,-236,-71.4,14302184.0,-8006,12232,1277.9,11294420.0,-6046,10876,-3204.0,7742580.0,-11777,2581,0.0,100.0,0.0,0.0,0.0,0.0,0,0.20972,0.155853,0.068106,0.038403,0.0,30.0
0:07:09,1696927170,2023-10-10T08:39:30,2023-10-10T10:39:30,1.018,7.14,35.39,35.45,37.1,34.04,37.02,868.11,866.77,111.316666,30.65,0.9711,716,0,8.836,0.98564,4.11,52588,99,30.0,8.9,0.02,9.42,0.02,9.42,0.02,9.43,0.02,60.91,0.73,70.83,0.97,71.03,0.97,71.05,0.97,71.05,0.97,0.56,0.0,0.095,0.0,-1.969756,30.758692,1362.4,7.0,0.460544,1.5,890.0,7470.8,675,1256,-408.8,7532.7,-720,-217,-343.7,7782.5,-448,-32,-1462.5,687594816.0,-92452,51135,2888.0,362439040.0,-28778,90238,-2206.7,30500746.0,-8968,19477,0.0,100.0,0.0,0.0,0.0,0.0,13,0.21704,0.046086,0.076282,0.038351,0.0,30.0
0:07:39,1696927200,2023-10-10T08:40:00,2023-10-10T10:40:00,1.018,7.65,35.65,35.68,37.33,34.62,37.47,868.12,866.76,111.466667,30.66,0.9702,719,0,8.825,0.98666,4.11,52575,99,30.0,9.11,0.01,9.67,0.01,9.7,0.01,9.71,0.01,62.3,0.32,72.5,0.41,72.73,0.4,72.76,0.4,72.76,0.4,0.56,0.0,0.0998,0.0,-1.969846,30.758743,1367.0,8.0,0.36237,1.3,911.7,1492.0,839,1057,-377.1,3138.3,-486,-250,-339.0,1374.7,-401,-234,2003.9,354358720.0,-54538,69238,688.9,59344540.0,-27562,21735,-3124.4,36251240.0,-14682,20492,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209015,0.093836,0.068058,0.038344,0.0,30.0
0:08:09,1696927230,2023-10-10T08:40:30,2023-10-10T10:40:30,1.016,8.15,35.85,35.88,37.56,34.62,37.61,868.09,866.74,111.949997,30.22,0.9696,722,0,8.815,0.98605,4.11,52563,98,30.0,9.46,0.0,10.01,0.01,10.01,0.01,10.01,0.01,64.77,0.23,75.32,0.3,75.52,0.31,75.54,0.3,75.54,0.3,0.53,0.0,0.1048,0.0,-1.969878,30.758707,1370.2,9.0,0.617314,1.2,888.4,2005.5,731,961,-355.3,13508.3,-637,20,-323.4,10148.5,-433,52,13941.1,1039139904.0,-43933,125133,-4832.3,250170864.0,-64443,27965,-933.5,62220116.0,-11305,28936,0.0,100.0,0.0,0.0,0.0,0.0,15,0.209313,0.150377,0.068084,0.03844,0.0,30.0
0:08:39,1696927260,2023-10-10T08:41:00,2023-10-10T10:41:00,1.015,8.66,36.03,36.03,37.78,35.21,37.88,867.96,866.75,111.666664,30.33,0.9689,724,0,8.807,0.9832,4.11,52550,98,30.0,9.85,0.04,10.42,0.05,10.42,0.05,10.42,0.05,67.43,1.95,78.41,2.64,78.61,2.65,78.64,2.65,78.64,2.65,0.53,0.0,0.11,0.0,-1.969879,30.758665,1364.0,9.0,0.565914,1.2,903.1,19534.9,429,1179,-343.3,27578.8,-552,419,-159.4,29962.9,-352,147,16443.7,1423469568.0,-72003,113163,5365.9,685738176.0,-49682,92277,-9504.3,231586048.0,-64557,14962,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210497,0.022405,0.068149,0.039336,0.0,30.0
0:09:09,1696927290,2023-10-10T08:41:30,2023-10-10T10:41:30,1.016,9.17,36.16,36.17,37.83,35.21,38.1,868.11,866.73,110.199997,32.12,0.968,727,0,8.794,0.983,4.11,52537,98,30.0,10.98,0.07,11.61,0.07,11.61,0.07,11.61,0.07,75.19,3.11,87.43,4.21,87.66,4.23,87.69,4.23,87.69,4.23,0.54,0.0,0.1156,0.0,-1.969921,30.758596,1350.7,10.0,0.098688,1.0,835.1,2606.1,580,883,-471.2,29298.0,-555,433,-302.1,13098.8,-382,298,-1914.6,212082016.0,-64662,16808,-1415.4,130966800.0,-59561,7953,-511.9,113897112.0,-8076,54556,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210939,0.075868,0.069365,0.038359,0.0,30.0
