(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:05:23,1669636560,2022-11-28T11:56:00,2022-11-28T13:56:00,1.011,5.07,31.66,31.58,33.29,31.69,34.52,860.43,858.71,127.083336,42.56,0.9728,658,0,8.774,0.98444,4.13,52652,99,30,4.6,0.01,4.86,0.01,4.86,0.01,4.86,0.01,31.46,0.42,36.6,0.57,36.71,0.58,36.72,0.58,36.72,0.58,0.53,0.0,0.0237,0,-1.982144,30.749731,1417.0,3,1.415042,2.4,634.7,81663.1,132,998,357.0,20639.0,30,658,-499.3,143268.3,-961,393,5877.0,962602176.0,-52158,95462,846.4,764345536.0,-78627,72021,-3815.3,296328128.0,-54635,31097,0.0,60.0,0.0,0.0,40.0,0.0,0,0.206034,0.089894,0.066426,0.038886,0.0,30.0
0:05:53,1669636590,2022-11-28T11:56:30,2022-11-28T13:56:30,1.013,5.57,31.81,31.74,33.51,31.69,34.74,860.46,858.65,126.349998,40.88,0.9726,660,0,8.764,0.98254,4.13,52641,99,30,4.47,0.02,4.72,0.03,4.72,0.03,4.72,0.03,30.56,1.1,35.55,1.49,35.65,1.5,35.66,1.5,35.66,1.5,0.53,0.0,0.0262,0,-1.981112,30.747181,1387.5,6,0.351062,1.1,741.9,78241.3,85,1116,60.8,25687.5,-117,308,-287.0,285364.9,-1018,404,7142.6,1061898688.0,-34457,132212,14358.3,1044207936.0,-27842,130856,1303.8,768470016.0,-85513,67847,0.0,56.7,0.0,0.0,43.3,0.0,0,0.205296,0.153263,0.066417,0.037978,0.0,30.0
0:06:23,1669636620,2022-11-28T11:57:00,2022-11-28T13:57:00,1.01,6.07,31.94,31.78,33.72,31.69,34.66,860.4,858.64,126.366669,40.41,0.9722,662,0,8.752,0.98045,4.13,52630,99,30,4.14,0.07,4.38,0.08,4.38,0.08,4.38,0.08,28.35,3.43,32.98,4.64,33.08,4.67,33.09,4.67,33.09,4.67,0.54,0.0,0.0285,0,-1.981047,30.747213,1391.7,5,0.360314,1.1,642.3,116786.5,145,1070,45.8,49179.6,-489,577,-100.9,413368.2,-982,941,15376.8,2788752896.0,-66631,187416,-3586.4,772719680.0,-50933,70113,5540.9,1043288320.0,-39436,125343,0.0,53.3,0.0,0.0,30.0,16.7,0,0.206441,0.030547,0.066431,0.038938,0.0,30.0
0:06:53,1669636650,2022-11-28T11:57:30,2022-11-28T13:57:30,1.009,6.58,32.05,31.73,33.84,31.69,35.08,860.46,858.33,125.300003,40.04,0.9715,663,0,8.746,0.97874,4.13,52620,99,30,3.88,0.04,4.1,0.04,4.1,0.04,4.1,0.04,26.53,1.84,30.86,2.49,30.95,2.5,30.96,2.5,30.96,2.5,0.55,0.0,0.0306,0,-1.980971,30.746964,1391.9,4,0.602408,2.2,289.3,1.0,288,291,177.8,2.0,176,180,-984.7,263.8,-1008,-962,396.8,6065.4,288,603,299.3,1213.5,236,350,-857.8,561.6,-910,-805,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205569,0.092972,0.06645,0.038807,0.0,30.0
0:07:23,1669636680,2022-11-28T11:58:00,2022-11-28T13:58:00,1.007,7.08,32.13,31.72,33.92,31.69,35.09,860.44,858.23,125.333336,39.58,0.9712,664,0,8.74,0.97609,4.13,52609,99,30,3.59,0.0,3.81,0.0,3.82,0.0,3.82,0.0,24.53,0.17,28.55,0.23,28.65,0.23,28.66,0.23,28.66,0.23,0.56,0.0,0.0326,0,-1.980971,30.746937,1391.0,5,0.81212,1.1,289.6,0.6,288,291,177.3,1.7,175,179,-985.6,228.5,-1008,-963,419.3,8653.2,253,560,290.7,1206.6,218,393,-861.8,575.6,-927,-805,0.0,0.0,0.0,0.0,100.0,0.0,0,0.213968,0.130019,0.074521,0.038925,0.0,30.0
0:07:53,1669636710,2022-11-28T11:58:30,2022-11-28T13:58:30,1.007,7.58,32.2,31.69,34.01,31.69,34.85,860.41,858.07,125.366669,39.2,0.9708,665,0,8.735,0.97628,4.13,52598,99,30,3.45,0.0,3.67,0.0,3.68,0.0,3.68,0.0,23.59,0.17,27.47,0.23,27.56,0.23,27.57,0.23,27.57,0.23,0.56,0.0,0.0345,0,-1.981027,30.747086,1393.7,5,0.270878,1.1,289.8,0.8,288,291,177.1,2.0,175,179,-984.8,253.0,-1009,-963,419.0,11618.4,175,603,305.0,1105.5,253,376,-857.1,523.1,-901,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.226925,0.181618,0.087313,0.038916,0.0,30.0
0:08:23,1669636740,2022-11-28T11:59:00,2022-11-28T13:59:00,1.007,8.09,32.29,31.68,34.09,31.69,35.17,860.41,857.97,124.98333,38.84,0.9705,666,0,8.729,0.97476,4.13,52587,99,30,3.41,0.0,3.61,0.0,3.61,0.0,3.61,0.0,23.34,0.06,27.15,0.09,27.23,0.09,27.24,0.09,27.24,0.09,0.54,0.0,0.0363,0,-1.981009,30.747122,1392.1,5,0.271906,1.2,289.9,0.7,289,292,177.2,1.3,175,179,-986.8,145.2,-1007,-968,411.5,7237.4,201,586,296.8,891.9,253,350,-860.3,562.7,-901,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.207485,0.083215,0.067133,0.039454,0.0,30.0
0:08:53,1669636770,2022-11-28T11:59:30,2022-11-28T13:59:30,1.006,8.59,32.36,31.67,34.17,31.69,35.29,860.44,857.92,124.849998,38.65,0.9702,667,0,8.724,0.97382,4.13,52576,99,30,3.92,0.02,4.14,0.03,4.14,0.03,4.14,0.03,26.79,1.13,31.16,1.54,31.25,1.54,31.26,1.55,31.26,1.55,0.54,0.0,0.0382,0,-1.980993,30.747059,1384.1,6,0.867118,1.0,290.1,0.9,289,292,177.0,2.1,175,179,-988.0,268.1,-1009,-963,436.8,12795.7,271,700,302.6,1141.4,227,367,-860.0,607.1,-910,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.20671,0.115745,0.066609,0.039015,0.0,30.0
0:09:23,1669636800,2022-11-28T12:00:00,2022-11-28T14:00:00,1.004,9.09,32.43,31.67,34.25,31.69,35.44,860.44,857.81,124.683334,38.45,0.9699,667,0,8.725,0.97439,4.13,52566,98,30,4.03,0.0,4.26,0.0,4.26,0.0,4.26,0.0,27.57,0.2,32.07,0.27,32.16,0.27,32.17,0.27,32.17,0.27,0.55,0.0,0.0403,0,-1.980993,30.747059,1384.1,6,0.263682,1.0,290.4,0.6,289,292,176.7,1.7,175,179,-986.5,236.1,-1008,-964,431.3,13553.0,245,612,305.3,1174.1,236,367,-862.5,477.5,-910,-831,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205933,0.323818,0.066701,0.038911,0.0,30.0
0:09:53,1669636830,2022-11-28T12:00:30,2022-11-28T14:00:30,1.004,9.59,32.49,31.68,34.34,31.69,35.17,860.23,857.6,124.433334,38.26,0.9694,667,0,8.724,0.97325,4.13,52555,98,30,4.33,0.06,4.58,0.07,4.58,0.07,4.58,0.07,29.64,2.82,34.48,3.81,34.58,3.83,34.59,3.83,34.59,3.83,0.53,0.0,0.0426,0,-1.980969,30.74707,1359.5,7,0.309428,1.0,290.6,0.8,289,292,176.6,1.7,174,178,-986.0,251.1,-1009,-963,413.0,12447.1,227,603,308.8,1392.6,227,385,-861.1,770.6,-936,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205215,0.16611,0.066646,0.038086,0.0,30.0
0:10:23,1669636860,2022-11-28T12:01:00,2022-11-28T14:01:00,1.006,10.09,32.56,31.71,34.38,31.69,35.61,860.33,857.65,125.066666,38.02,0.9693,668,0,8.72,0.97401,4.13,52544,98,30,4.35,0.11,4.6,0.12,4.6,0.12,4.6,0.12,29.77,5.01,34.63,6.78,34.73,6.82,34.74,6.82,34.74,6.82,0.53,0.0,0.0449,0,-1.980947,30.747074,1362.1,7,0.435358,1.0,290.6,0.6,289,292,176.2,1.6,174,178,-985.8,247.9,-1010,-963,442.9,10252.4,192,612,297.7,1962.9,218,376,-857.7,324.3,-901,-822,0.0,0.0,0.0,0.0,100.0,0.0,0,0.206349,0.236097,0.066717,0.038944,0.0,30.0
0:10:53,1669636890,2022-11-28T12:01:30,2022-11-28T14:01:30,1.004,10.6,32.62,31.72,34.47,31.69,35.59,860.33,857.49,124.366669,38.09,0.9689,668,0,8.72,0.97344,4.13,52533,98,30,3.86,0.0,4.09,0.0,4.09,0.0,4.09,0.0,26.44,0.12,30.76,0.16,30.84,0.16,30.85,0.16,30.85,0.16,0.53,0.0,0.0471,0,-1.980968,30.747108,1366.2,8,0.178358,0.9,290.6,0.5,290,292,176.6,1.4,175,178,-988.2,258.9,-1009,-964,424.3,8646.1,183,603,294.0,1332.5,218,350,-852.5,475.9,-892,-805,0.0,0.0,0.0,0.0,100.0,0.0,0,0.20557,0.104029,0.066619,0.038058,0.0,30.0
0:11:23,1669636920,2022-11-28T12:02:00,2022-11-28T14:02:00,1.003,11.1,32.7,31.75,34.51,31.69,35.62,860.32,857.51,124.73333,37.84,0.9687,668,0,8.722,0.97476,4.13,52522,98,30,4.12,0.02,4.35,0.02,4.35,0.02,4.35,0.02,28.16,1.05,32.75,1.42,32.85,1.42,32.86,1.42,32.86,1.42,0.53,0.0,0.0492,0,-1.980968,30.747108,1366.2,8,0.185554,0.9,290.5,0.6,289,292,176.9,1.8,174,179,-995.8,206.2,-1009,-964,442.1,8765.3,271,630,286.6,1901.6,192,367,-863.3,589.4,-910,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.20557,0.308468,0.066532,0.037949,0.0,30.0
0:11:53,1669636950,2022-11-28T12:02:30,2022-11-28T14:02:30,1.006,11.6,32.74,31.79,34.57,31.69,35.6,860.29,857.45,124.300003,37.93,0.9684,669,0,8.717,0.9725,4.13,52511,98,30,4.34,0.03,4.59,0.04,4.59,0.04,4.59,0.04,29.71,1.61,34.56,2.18,34.65,2.19,34.67,2.19,34.67,2.19,0.53,0.0,0.0514,0,-1.980983,30.747107,1360.8,8,0.068876,0.9,290.8,0.9,289,292,176.6,1.8,174,178,-990.5,243.8,-1009,-964,436.2,8801.1,280,595,294.8,1249.6,218,393,-868.8,616.9,-918,-813,0.0,0.0,0.0,0.0,100.0,0.0,0,0.21371,0.053501,0.07453,0.038872,0.0,30.0
0:12:23,1669636980,2022-11-28T12:03:00,2022-11-28T14:03:00,1.004,12.1,32.8,31.82,34.56,32.28,35.7,860.29,857.44,124.01667,37.67,0.9683,669,0,8.717,0.97363,4.13,52501,98,30,3.93,0.02,4.16,0.02,4.16,0.02,4.16,0.02,26.91,0.74,31.3,1.0,31.39,1.0,31.4,1.0,31.4,1.0,0.54,0.0,0.0536,0,-1.980992,30.747118,1368.3,7,0.564372,1.0,290.7,0.5,289,292,176.5,1.7,174,179,-987.4,238.1,-1008,-963,400.6,9036.9,183,568,293.9,1571.1,183,350,-867.4,542.2,-918,-822,0.0,0.0,0.0,0.0,100.0,0.0,0,0.20607,0.104543,0.066491,0.039093,0.0,30.0
0:12:53,1669637010,2022-11-28T12:03:30,2022-11-28T14:03:30,1.004,12.61,32.86,31.87,34.69,32.28,35.79,860.31,857.44,124.400002,37.68,0.968,669,0,8.717,0.97287,4.13,52490,98,30,3.83,0.01,4.05,0.01,4.05,0.01,4.05,0.01,26.18,0.43,30.45,0.59,30.53,0.59,30.55,0.59,30.55,0.59,0.53,0.0,0.0557,0,-1.980968,30.747108,1377.8,8,0.15677,0.9,291.0,0.8,290,292,176.2,2.2,174,179,-984.8,261.8,-1009,-964,393.7,11684.8,218,595,293.3,892.5,218,341,-857.0,422.8,-901,-822,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205142,0.139105,0.066406,0.038039,0.0,30.0
0:13:23,1669637040,2022-11-28T12:04:00,2022-11-28T14:04:00,1.006,13.11,32.9,31.87,34.75,32.28,36.0,860.23,857.22,124.849998,37.56,0.9677,670,0,8.713,0.97325,4.13,52479,98,30,3.71,0.01,3.93,0.01,3.93,0.01,3.93,0.01,25.41,0.5,29.56,0.68,29.64,0.68,29.65,0.68,29.65,0.68,0.53,0.0,0.0577,0,-1.981008,30.74707,1383.7,7,0.440498,1.0,291.2,0.5,290,292,176.3,1.9,174,178,-985.8,238.4,-1008,-964,407.8,9145.8,157,551,293.6,1225.0,227,367,-853.9,456.2,-910,-822,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205279,0.20921,0.066404,0.037964,0.0,30.0
0:13:53,1669637070,2022-11-28T12:04:30,2022-11-28T14:04:30,1.002,13.61,32.96,31.9,34.79,32.28,35.8,860.23,857.27,124.650002,37.44,0.9675,670,0,8.713,0.9742,4.12,52468,98,30,3.47,0.0,3.66,0.0,3.66,0.0,3.66,0.0,23.71,0.07,27.58,0.09,27.66,0.09,27.67,0.09,27.67,0.09,0.53,0.0,0.0596,0,-1.981066,30.747034,1405.5,7,0.57054,1.0,291.1,0.6,290,292,176.2,1.7,174,178,-986.9,241.6,-1008,-964,420.4,9181.4,262,621,273.2,2073.4,183,367,-860.9,609.4,-910,-822,0.0,0.0,0.0,0.0,100.0,0.0,0,0.205589,0.256605,0.066448,0.038087,0.0,30.0
