(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
13:43:53,1669685670,2022-11-29T01:34:30,2022-11-29T03:34:30,0.998,822.43,29.56,29.48,31.49,29.93,32.37,861.14,859.14,126.433334,41.74,0.9812,642,0,8.842,0.98178,4.21,53094,100,30,11.55,0.06,12.21,0.07,12.21,0.07,12.21,0.07,79.02,2.85,91.92,3.86,92.18,3.88,92.21,3.88,92.21,3.88,0.53,0.0,71.4189,0,-1.981032,30.747028,1379.1,10,0.08995,1.0,1001.2,0.1,1000,1002,-43.3,0.5,-44,-42,-56.0,77.3,-69,-45,375.9,1313.3,306,446,342.3,1265.1,271,420,-877.2,255.6,-910,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214121,0.306399,0.073971,0.038067,0.0,30.0
13:44:23,1669685700,2022-11-29T01:35:00,2022-11-29T03:35:00,0.998,822.93,29.57,29.5,31.45,30.52,32.3,861.17,859.21,126.23333,41.79,0.9812,642,0,8.842,0.97893,4.21,53098,100,30,11.11,0.04,11.75,0.05,11.75,0.05,11.75,0.05,75.99,1.9,88.4,2.57,88.65,2.59,88.68,2.59,88.68,2.59,0.54,0.0,71.4249,0,-1.981009,30.747051,1377.7,11,0.126444,0.9,1001.2,0.2,1000,1002,-43.5,0.6,-45,-42,-57.4,74.2,-69,-44,379.3,2325.8,280,463,346.2,1153.5,271,411,-875.6,173.6,-901,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214411,0.186194,0.073961,0.03816,0.0,30.0
13:44:53,1669685730,2022-11-29T01:35:30,2022-11-29T03:35:30,0.996,823.43,29.57,29.52,31.45,30.52,32.07,861.09,859.18,126.133331,41.77,0.9812,642,0,8.843,0.97988,4.21,53102,100,30,11.27,0.03,11.92,0.03,11.92,0.03,11.92,0.03,77.13,1.37,89.72,1.84,89.97,1.86,90.0,1.86,90.0,1.86,0.54,0.0,71.4308,0,-1.981015,30.747028,1382.4,12,0.320222,0.9,1001.3,0.1,1000,1002,-43.2,0.7,-45,-42,-57.2,75.5,-69,-44,389.2,2054.2,306,472,343.0,655.9,306,402,-879.8,270.6,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.222758,0.063993,0.082104,0.038158,0.0,30.0
13:45:23,1669685760,2022-11-29T01:36:00,2022-11-29T03:36:00,0.997,823.93,29.56,29.47,31.45,29.93,32.21,861.07,859.14,126.48333,41.75,0.9812,642,0,8.842,0.98045,4.21,53094,100,30,11.74,0.1,12.42,0.11,12.42,0.11,12.42,0.11,80.34,4.45,93.46,6.02,93.73,6.06,93.76,6.06,93.76,6.06,0.52,0.0,71.4369,0,-1.981012,30.747019,1380.6,12,0.282186,0.8,1001.3,0.0,1000,1002,-43.3,0.6,-44,-42,-57.0,72.7,-70,-45,377.5,2786.4,271,516,348.4,1038.4,288,402,-881.6,141.8,-901,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.216536,0.113026,0.075699,0.038132,0.0,30.0
13:45:53,1669685790,2022-11-29T01:36:30,2022-11-29T03:36:30,0.997,824.43,29.57,29.46,31.45,29.93,32.37,861.12,859.11,126.033333,41.79,0.9811,642,0,8.843,0.98007,4.21,53098,100,30,11.15,0.02,11.79,0.02,11.79,0.02,11.79,0.02,76.26,0.72,88.72,0.97,88.96,0.98,89.0,0.98,89.0,0.98,0.51,0.0,71.4429,0,-1.981028,30.747007,1379.9,12,0.057568,0.9,1001.5,0.2,1000,1003,-43.4,0.6,-45,-42,-57.0,74.7,-69,-44,382.0,2373.3,288,490,338.5,1749.3,227,428,-879.3,171.2,-910,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.215218,0.18538,0.074066,0.038268,0.0,30.0
13:46:23,1669685820,2022-11-29T01:37:00,2022-11-29T03:37:00,0.998,824.93,29.56,29.49,31.45,30.52,32.01,861.12,859.11,126.383331,41.33,0.9813,642,0,8.843,0.9795,4.21,53101,100,30,10.22,0.07,10.81,0.07,10.81,0.07,10.81,0.07,69.95,3.06,81.37,4.14,81.6,4.16,81.63,4.17,81.63,4.17,0.51,0.0,71.4485,0,-1.981033,30.747019,1375.8,12,0.13107,0.9,1001.3,0.2,1000,1002,-43.3,0.6,-45,-42,-56.4,76.0,-69,-44,387.0,3346.0,280,533,344.7,934.9,297,411,-876.1,301.9,-901,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214239,0.059959,0.074043,0.038132,0.0,30.0
13:46:53,1669685850,2022-11-29T01:37:30,2022-11-29T03:37:30,0.998,825.43,29.56,29.49,31.43,29.93,32.53,861.17,859.21,126.349998,41.81,0.9813,642,0,8.839,0.9795,4.16,53094,100,30,10.28,0.04,10.87,0.04,10.87,0.04,10.87,0.04,70.31,1.72,81.79,2.33,82.02,2.34,82.05,2.34,82.05,2.34,0.51,0.0,71.4539,0,-1.981064,30.747011,1371.1,12,0.030326,0.9,1001.4,0.2,1000,1002,-43.3,0.8,-45,-42,-56.9,73.9,-69,-45,391.4,3505.4,271,516,339.4,1331.3,288,411,-881.6,143.6,-910,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214701,0.10917,0.074208,0.038199,0.0,30.0
13:47:23,1669685880,2022-11-29T01:38:00,2022-11-29T03:38:00,0.998,825.92,29.55,29.5,31.48,29.93,32.14,861.09,859.21,126.366669,41.77,0.9813,642,0,8.842,0.97817,4.21,53097,100,30,10.15,0.01,10.74,0.01,10.74,0.01,10.74,0.01,69.46,0.44,80.8,0.6,81.02,0.61,81.05,0.6,81.05,0.6,0.51,0.0,71.4593,0,-1.981064,30.747011,1371.1,12,0.09766,0.9,1001.3,-0.1,1000,1002,-43.3,0.7,-45,-42,-57.3,74.9,-69,-44,388.5,2869.7,280,525,350.9,863.0,288,420,-877.0,288.6,-910,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214627,0.311108,0.073992,0.038131,0.0,30.0
13:47:53,1669685910,2022-11-29T01:38:30,2022-11-29T03:38:30,0.999,826.42,29.56,29.51,31.48,30.52,32.09,861.17,859.21,127.0,41.83,0.9813,642,0,8.842,0.97836,4.21,53101,100,30,11.13,0.11,11.77,0.12,11.77,0.12,11.77,0.12,76.17,5.04,88.61,6.82,88.86,6.86,88.89,6.86,88.89,6.86,0.52,0.0,71.465,0,-1.981064,30.747011,1371.1,12,0.099202,0.9,1001.1,0.2,1000,1002,-43.5,0.6,-45,-42,-57.3,71.9,-70,-45,376.5,1860.8,306,481,352.9,978.9,280,420,-881.6,235.6,-918,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214805,0.194206,0.073959,0.038161,0.0,30.0
13:48:23,1669685940,2022-11-29T01:39:00,2022-11-29T03:39:00,0.997,826.92,29.55,29.49,31.45,29.93,32.29,861.07,859.16,127.166664,41.82,0.9813,642,0,8.838,0.9814,4.16,53097,100,30,11.76,0.1,12.44,0.11,12.44,0.11,12.44,0.11,80.45,4.81,93.59,6.51,93.85,6.54,93.89,6.55,93.89,6.55,0.52,0.0,71.471,0,-1.981033,30.747017,1373.9,10,0.058082,0.9,1001.3,0.4,1000,1002,-43.6,0.8,-45,-42,-55.6,71.8,-69,-45,378.4,3318.1,253,481,336.2,1116.0,262,393,-876.7,296.1,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214985,0.0859,0.073936,0.038157,0.0,30.0
13:48:53,1669685970,2022-11-29T01:39:30,2022-11-29T03:39:30,0.998,827.42,29.56,29.48,31.44,29.93,32.17,861.14,859.19,126.033333,41.71,0.9813,642,0,8.843,0.97798,4.21,53096,100,30,10.54,0.04,11.15,0.05,11.15,0.05,11.15,0.05,72.11,2.04,83.88,2.76,84.12,2.78,84.15,2.77,84.15,2.77,0.51,0.0,71.4769,0,-1.981049,30.747082,1376.5,12,0.181956,1.0,1001.3,0.0,1001,1002,-43.4,0.6,-45,-42,-56.3,72.9,-68,-44,373.3,2191.7,280,481,351.7,974.6,271,402,-882.5,279.5,-927,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.222632,0.150938,0.08238,0.038187,0.0,30.0
13:49:23,1669686000,2022-11-29T01:40:00,2022-11-29T03:40:00,0.998,827.92,29.55,29.51,31.46,30.52,32.2,861.17,859.24,126.333336,41.74,0.9814,642,0,8.841,0.9776,4.21,53100,100,30,10.19,0.07,10.77,0.08,10.77,0.08,10.77,0.08,69.7,3.15,81.08,4.27,81.31,4.3,81.34,4.29,81.34,4.29,0.51,0.0,71.4823,0,-1.981042,30.747036,1373.4,12,0.14906,0.9,1001.4,0.1,1000,1002,-43.5,0.7,-45,-42,-55.4,71.6,-69,-45,414.3,2592.8,332,542,331.3,970.8,280,385,-886.6,339.0,-918,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214538,0.034643,0.074079,0.038158,0.0,30.0
13:49:53,1669686030,2022-11-29T01:40:30,2022-11-29T03:40:30,0.998,828.42,29.55,29.53,31.47,29.93,32.29,861.14,859.29,126.833336,41.7,0.9814,642,0,8.838,0.97874,4.16,53098,100,30,10.01,0.02,10.59,0.03,10.59,0.03,10.59,0.03,68.5,1.07,79.68,1.44,79.91,1.45,79.93,1.45,79.93,1.45,0.51,0.0,71.4877,0,-1.981045,30.747047,1372.9,10,0.080698,1.0,1001.3,0.2,1000,1002,-43.4,0.5,-45,-42,-56.5,71.4,-69,-44,389.9,1925.0,297,498,346.2,965.1,280,393,-878.5,342.1,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214858,0.260392,0.074268,0.038103,0.0,30.0
13:50:23,1669686060,2022-11-29T01:41:00,2022-11-29T03:41:00,0.998,828.92,29.55,29.5,31.43,29.93,32.15,861.14,859.21,126.033333,41.62,0.9814,642,0,8.841,0.97912,4.21,53096,100,30,10.4,0.03,10.99,0.03,10.99,0.03,10.99,0.03,71.13,1.24,82.74,1.67,82.97,1.68,83.0,1.68,83.0,1.68,0.52,0.0,71.493,0,-1.981032,30.747072,1374.6,11,0.144948,1.0,1001.3,0.2,1000,1002,-43.2,1.0,-45,-42,-57.5,76.0,-70,-44,384.6,1760.3,315,498,352.9,864.7,253,393,-877.8,298.1,-918,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214925,0.252021,0.074078,0.038149,0.0,30.0
13:50:53,1669686090,2022-11-29T01:41:30,2022-11-29T03:41:30,0.997,829.42,29.54,29.47,31.43,29.93,32.17,861.02,859.16,126.199997,41.76,0.9813,642,0,8.842,0.9795,4.21,53100,100,30,10.67,0.02,11.28,0.02,11.28,0.02,11.28,0.02,72.99,0.76,84.91,1.03,85.15,1.03,85.18,1.03,85.18,1.03,0.51,0.0,71.4986,0,-1.981026,30.747051,1380.2,11,0.302746,1.0,1001.2,0.2,1000,1002,-43.4,0.6,-45,-42,-57.3,75.3,-70,-46,387.2,1256.8,315,472,344.7,592.8,288,385,-878.9,218.1,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214998,0.125893,0.073971,0.038138,0.0,30.0
13:51:23,1669686120,2022-11-29T01:42:00,2022-11-29T03:42:00,0.997,829.91,29.56,29.48,31.43,30.52,32.16,861.06,859.19,126.416664,41.81,0.9813,642,0,8.842,0.9795,4.21,53103,100,30,11.45,0.04,12.11,0.05,12.11,0.05,12.11,0.05,78.36,1.93,91.15,2.61,91.41,2.62,91.44,2.62,91.44,2.62,0.5,0.0,71.5044,0,-1.980978,30.746979,1396.7,12,0.093034,0.9,1001.4,-0.1,1001,1002,-43.4,0.8,-45,-42,-56.0,74.5,-69,-44,388.4,2369.3,297,472,345.2,902.8,280,393,-874.3,219.7,-901,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.248283,0.177003,0.107065,0.038143,0.0,30.0
13:51:53,1669686150,2022-11-29T01:42:30,2022-11-29T03:42:30,0.998,830.41,29.55,29.51,31.45,29.93,32.41,861.14,859.21,126.0,41.75,0.9813,642,0,8.841,0.97836,4.21,53095,100,30,11.26,0.14,11.9,0.16,11.9,0.16,11.9,0.16,77.01,6.57,89.58,8.89,89.83,8.94,89.86,8.95,89.86,8.95,0.51,0.0,71.5104,0,-1.980999,30.747002,1386.8,11,0.193264,0.9,1001.4,0.1,1000,1002,-43.2,0.6,-45,-42,-57.7,72.0,-69,-45,387.6,2459.6,315,498,347.5,1034.9,288,402,-884.6,205.4,-918,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214396,0.079588,0.073871,0.038225,0.0,30.0
13:52:23,1669686180,2022-11-29T01:43:00,2022-11-29T03:43:00,0.998,830.91,29.55,29.46,31.43,29.93,32.2,861.12,859.17,126.25,41.68,0.9813,642,0,8.84,0.97912,4.21,53099,100,30,11.86,0.01,12.54,0.02,12.54,0.02,12.54,0.02,81.11,0.66,94.36,0.9,94.63,0.91,94.66,0.9,94.66,0.9,0.52,0.0,71.5165,0,-1.980996,30.747,1379.4,12,0.050886,0.8,1001.4,0.1,1001,1002,-43.3,0.6,-45,-42,-56.1,73.6,-69,-44,395.4,2551.0,262,481,341.7,1021.9,262,393,-882.8,209.0,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.2228,0.12401,0.08217,0.03815,0.0,30.0
13:52:53,1669686210,2022-11-29T01:43:30,2022-11-29T03:43:30,0.997,831.41,29.55,29.49,31.47,30.52,32.36,861.12,859.21,125.76667,41.84,0.9813,642,0,8.841,0.97988,4.21,53103,100,30,11.29,0.09,11.94,0.1,11.94,0.1,11.94,0.1,77.27,4.24,89.89,5.74,90.14,5.77,90.17,5.78,90.17,5.78,0.54,0.0,71.5226,0,-1.981025,30.747025,1374.4,11,0.247748,0.9,1001.3,0.1,1000,1002,-43.3,0.6,-45,-42,-57.5,77.6,-69,-44,392.2,2611.2,306,507,340.3,788.1,271,402,-878.1,391.8,-918,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214628,0.162012,0.073978,0.037963,0.0,30.0
13:53:23,1669686240,2022-11-29T01:44:00,2022-11-29T03:44:00,0.997,831.91,29.55,29.51,31.45,29.93,32.07,861.17,859.26,126.033333,41.72,0.9814,642,0,8.84,0.97855,4.21,53094,100,30,10.06,0.08,10.63,0.09,10.63,0.09,10.63,0.09,68.8,3.8,80.04,5.14,80.26,5.17,80.29,5.17,80.29,5.17,0.54,0.0,71.5282,0,-1.981021,30.747,1381.3,10,0.237468,1.0,1001.4,0.2,1000,1002,-43.3,0.7,-45,-42,-57.4,72.4,-69,-44,402.4,1999.4,332,481,336.6,768.6,297,393,-881.4,253.8,-910,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214993,0.041863,0.074016,0.038077,0.0,30.0
13:53:53,1669686270,2022-11-29T01:44:30,2022-11-29T03:44:30,0.997,832.41,29.53,29.49,31.47,29.93,32.1,861.14,859.16,126.283333,41.81,0.9813,642,0,8.842,0.9795,4.21,53099,100,30,10.24,0.03,10.83,0.03,10.83,0.03,10.83,0.03,70.03,1.35,81.47,1.83,81.7,1.84,81.73,1.84,81.73,1.84,0.54,0.0,71.5336,0,-1.980974,30.747015,1391.1,9,0.159854,1.1,1001.4,0.1,1000,1002,-43.4,0.6,-45,-42,-56.7,77.7,-70,-45,375.6,2063.4,280,463,352.6,922.8,288,402,-882.8,283.6,-918,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214038,0.113317,0.073995,0.037955,0.0,30.0
13:54:23,1669686300,2022-11-29T01:45:00,2022-11-29T03:45:00,0.997,832.9,29.54,29.49,31.42,30.52,32.33,861.14,859.21,126.099998,41.87,0.9813,642,0,8.84,0.97798,4.21,53102,100,30,10.68,0.03,11.29,0.04,11.29,0.04,11.29,0.04,73.06,1.53,84.99,2.06,85.23,2.08,85.26,2.08,85.26,2.08,0.52,0.0,71.5391,0,-1.981031,30.747076,1380.7,11,0.212796,0.9,1001.4,0.2,1000,1003,-43.3,0.8,-45,-42,-57.7,78.9,-70,-45,387.4,2725.8,271,525,336.2,1516.9,262,411,-879.5,441.8,-918,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214048,0.177517,0.07377,0.037998,0.0,30.0
13:54:53,1669686330,2022-11-29T01:45:30,2022-11-29T03:45:30,0.997,833.4,29.54,29.52,31.47,29.93,32.28,861.22,859.18,125.800003,41.88,0.9813,642,0,8.837,0.97931,4.16,53097,100,30,12.01,0.24,12.7,0.27,12.7,0.27,12.7,0.27,82.15,11.45,95.56,15.5,95.83,15.59,95.86,15.6,95.86,15.6,0.51,0.0,71.5451,0,-1.981045,30.747145,1384.5,11,0.39835,1.0,1001.5,0.2,1000,1003,-43.4,0.8,-45,-42,-56.6,78.1,-70,-44,387.6,2777.6,280,481,340.9,463.7,280,385,-880.1,230.8,-918,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21436,0.038121,0.073842,0.038031,0.0,30.0
13:55:23,1669686360,2022-11-29T01:46:00,2022-11-29T03:46:00,0.997,833.9,29.55,29.47,31.41,29.93,32.42,861.15,859.19,126.283333,41.76,0.9813,642,0,8.841,0.97893,4.21,53098,100,30,11.79,0.03,12.47,0.04,12.47,0.04,12.47,0.04,80.65,1.61,93.82,2.18,94.08,2.19,94.11,2.19,94.11,2.19,0.51,0.0,71.5513,0,-1.981034,30.74712,1383.4,10,0.07196,1.0,1001.3,0.1,1000,1002,-43.2,0.5,-44,-42,-57.4,72.2,-69,-45,374.0,1968.4,297,472,344.4,941.8,288,402,-883.9,395.9,-918,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214764,0.275007,0.073896,0.038172,0.0,30.0
13:55:53,1669686390,2022-11-29T01:46:30,2022-11-29T03:46:30,0.998,834.4,29.54,29.45,31.44,30.52,32.24,861.15,859.17,126.566666,41.82,0.9813,642,0,8.841,0.98045,4.21,53102,100,30,11.34,0.04,11.99,0.05,11.99,0.05,11.99,0.05,77.56,1.98,90.23,2.68,90.48,2.69,90.52,2.7,90.52,2.7,0.51,0.0,71.5574,0,-1.981066,30.747074,1379.8,10,0.12079,1.0,1001.4,0.2,1000,1003,-43.4,0.7,-45,-42,-56.6,72.0,-69,-45,390.2,2262.7,253,490,340.3,935.8,280,402,-884.8,294.4,-927,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214747,0.150444,0.073896,0.037948,0.0,30.0
13:56:23,1669686420,2022-11-29T01:47:00,2022-11-29T03:47:00,0.996,834.9,29.54,29.48,31.44,29.93,32.26,861.14,859.19,125.833336,41.81,0.9813,642,0,8.837,0.98007,4.16,53098,100,30,11.25,0.04,11.9,0.04,11.9,0.04,11.9,0.04,76.98,1.86,89.56,2.52,89.81,2.53,89.84,2.53,89.84,2.53,0.51,0.0,71.5634,0,-1.98105,30.747046,1379.5,11,0.19018,1.0,1001.2,0.2,1000,1002,-43.0,0.6,-44,-42,-58.5,77.8,-70,-44,380.8,2958.7,288,507,338.8,746.2,271,393,-889.8,384.9,-936,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.222328,0.030274,0.082276,0.037996,0.0,30.0
13:56:53,1669686450,2022-11-29T01:47:30,2022-11-29T03:47:30,0.998,835.4,29.54,29.46,31.43,29.93,31.97,861.14,859.19,126.066666,41.83,0.9813,642,0,8.84,0.97855,4.21,53097,100,30,11.5,0.02,12.16,0.02,12.16,0.02,12.16,0.02,78.67,0.82,91.52,1.11,91.78,1.11,91.81,1.11,91.81,1.11,0.51,0.0,71.5694,0,-1.981089,30.746979,1368.8,11,0.272934,1.0,1001.4,0.2,1000,1002,-43.2,0.8,-45,-42,-57.2,74.5,-70,-45,386.1,1988.0,288,472,349.7,637.2,306,393,-879.9,229.2,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214371,0.078903,0.074015,0.03807,0.0,30.0
13:57:23,1669686480,2022-11-29T01:48:00,2022-11-29T03:48:00,0.996,835.9,29.55,29.44,31.42,29.93,32.15,861.15,859.22,126.616669,41.83,0.9813,642,0,8.839,0.97855,4.21,53101,100,30,11.26,0.06,11.9,0.07,11.9,0.07,11.9,0.07,77.0,3.03,89.58,4.1,89.83,4.13,89.86,4.13,89.86,4.13,0.5,0.0,71.5754,0,-1.981045,30.746971,1377.1,10,0.227702,1.0,1001.4,0.5,1000,1003,-43.4,0.6,-45,-42,-56.3,72.3,-68,-45,386.1,2754.1,288,507,343.5,953.6,280,393,-884.8,287.1,-927,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.215807,0.128648,0.075285,0.038017,0.0,30.0
13:57:53,1669686510,2022-11-29T01:48:30,2022-11-29T03:48:30,0.997,836.39,29.55,29.5,31.42,29.93,32.34,861.17,859.27,126.699997,41.78,0.9814,642,0,8.836,0.97912,4.16,53100,100,30,11.28,0.03,11.93,0.03,11.93,0.03,11.93,0.03,77.19,1.22,89.79,1.64,90.05,1.65,90.08,1.66,90.08,1.66,0.5,0.0,71.5813,0,-1.981013,30.747004,1389.6,10,0.477506,1.0,1001.2,0.1,1000,1002,-43.1,0.7,-45,-42,-57.2,72.7,-69,-45,376.2,2321.9,262,481,340.9,1253.9,262,393,-883.3,215.4,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214826,0.127432,0.073925,0.0382,0.0,30.0
13:58:23,1669686540,2022-11-29T01:49:00,2022-11-29T03:49:00,0.997,836.89,29.54,29.39,31.46,29.93,32.34,861.1,859.12,126.5,42.06,0.9812,642,0,8.84,0.97836,4.21,53097,100,30,11.14,0.01,11.78,0.01,11.78,0.01,11.78,0.01,76.2,0.3,88.64,0.41,88.89,0.41,88.93,0.41,88.93,0.41,0.5,0.0,71.5872,0,-1.981039,30.747023,1381.5,10,0.265738,1.0,1001.3,0.2,1000,1002,-43.3,0.5,-45,-42,-56.8,77.0,-70,-44,386.7,2219.1,297,463,354.6,699.4,297,411,-879.3,226.8,-910,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.215,0.178772,0.073962,0.03813,0.0,30.0
13:58:53,1669686570,2022-11-29T01:49:30,2022-11-29T03:49:30,0.997,837.39,29.54,29.44,31.47,29.93,32.18,861.15,859.17,126.699997,41.8,0.9813,642,0,8.841,0.97893,4.21,53101,100,30,10.88,0.03,11.5,0.03,11.5,0.03,11.5,0.03,74.43,1.28,86.58,1.73,86.82,1.74,86.86,1.74,86.86,1.74,0.5,0.0,71.593,0,-1.981017,30.747036,1381.7,8,0.287326,1.2,1001.4,0.1,1000,1002,-43.2,0.5,-44,-42,-56.9,75.8,-69,-44,388.4,2142.2,315,498,346.9,690.1,288,411,-878.9,264.9,-901,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214176,0.063334,0.074003,0.038092,0.0,30.0
13:59:23,1669686600,2022-11-29T01:50:00,2022-11-29T03:50:00,0.998,837.89,29.53,29.49,31.43,30.52,32.16,861.2,859.21,126.51667,41.82,0.9814,642,0,8.837,0.97874,4.16,53103,100,30,10.43,0.11,11.03,0.13,11.03,0.13,11.03,0.13,71.38,5.33,83.04,7.21,83.27,7.26,83.3,7.26,83.3,7.26,0.49,0.0,71.5986,0,-1.981013,30.747066,1379.0,9,0.352604,1.1,1001.4,0.2,1000,1002,-43.3,0.7,-45,-42,-56.0,75.9,-69,-44,393.6,2346.0,288,481,341.5,1000.7,253,402,-877.2,110.9,-901,-857,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214578,0.113106,0.074102,0.03818,0.0,30.0
13:59:53,1669686630,2022-11-29T01:50:30,2022-11-29T03:50:30,0.999,838.39,29.54,29.45,31.43,29.93,32.18,861.15,859.32,126.300003,41.89,0.9815,642,0,8.841,0.9795,4.21,53096,100,30,10.68,0.09,11.29,0.1,11.29,0.1,11.29,0.1,73.04,4.18,84.97,5.65,85.21,5.69,85.24,5.69,85.24,5.69,0.49,0.0,71.6042,0,-1.981017,30.746979,1369.5,10,0.242094,1.0,1001.4,0.5,1000,1002,-43.3,0.9,-45,-42,-57.4,79.9,-70,-44,377.9,1958.5,306,481,340.6,1429.9,271,420,-883.9,225.4,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214697,0.16471,0.074044,0.03816,0.0,30.0
14:00:23,1669686660,2022-11-29T01:51:00,2022-11-29T03:51:00,0.996,838.89,29.53,29.46,31.44,29.93,32.28,861.17,859.22,125.833336,41.83,0.9814,642,0,8.841,0.97874,4.21,53100,100,30,10.34,0.07,10.93,0.07,10.93,0.07,10.93,0.07,70.73,3.07,82.28,4.15,82.51,4.18,82.54,4.18,82.54,4.18,0.5,0.0,71.6097,0,-1.981055,30.746994,1370.5,10,0.06682,1.0,1001.4,0.2,1000,1002,-43.4,0.6,-45,-42,-57.1,74.6,-70,-44,398.1,2104.3,323,481,340.6,1124.4,253,393,-887.2,297.9,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.223107,0.047855,0.082272,0.03813,0.0,30.0
14:00:53,1669686690,2022-11-29T01:51:30,2022-11-29T03:51:30,0.996,839.38,29.52,29.44,31.46,30.52,32.12,861.15,859.22,126.683334,41.78,0.9814,642,0,8.842,0.97798,4.21,53104,100,30,11.22,0.05,11.86,0.05,11.86,0.05,11.86,0.05,76.74,2.28,89.27,3.08,89.53,3.1,89.56,3.1,89.56,3.1,0.5,0.0,71.6154,0,-1.981017,30.747,1371.3,11,0.270878,0.9,1001.3,-0.1,1000,1002,-43.4,0.7,-45,-42,-56.6,73.1,-70,-44,381.4,2537.3,262,498,349.3,1321.8,280,411,-879.8,249.9,-910,-848,0.0,100.0,0.0,0.0,0.0,0.0,0,0.215114,0.100274,0.074082,0.038153,0.0,30.0
